Study	Role	CRC	Control	Total
FR-CRC	Discovery / meta-analysis	53	61	114
AT-CRC	Discovery / meta-analysis	46	63	109
CN-CRC	Discovery / meta-analysis	74	54	128
US-CRC	Discovery / meta-analysis	52	52	104
DE-CRC	Discovery / meta-analysis	60	60	120
IT-CRC	Independent validation	29	24	53
IT-CRC-2	Independent validation	32	28	60
JP-CRC	Independent validation	40	40	80
