Asset	SourcePath	SourceBytes	SourceSHA256	FrozenPath	FrozenBytes	FrozenSHA256	Retrieved	Tool
publisher_supplement_s3	article17_MOESM3.xlsx	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	not_stored_binary	0	not_applicable	2026-07-21	openpyxl 3.1.5
ncbi_genome_report	article17_ncbi_genome.jsonl	254549	0ff5fe381e5d49b01ce64268d08507de7503c35a817b063353b104c991e02f16	17-ncbi-genome-snapshot.jsonl	254544	67cca077df50b81c2435a416f99eec4829f1a05e2cee8ec49cf85fec94bbc364	2026-07-21	NCBI Datasets 18.33.1
ncbi_sequence_report	article17_ncbi_sequence.jsonl	96470	6955bbebc0c727a2c283a86c58ebefa21617f5a25b5d6a99503a0c91397a0019	17-ncbi-sequence-snapshot.jsonl	96470	f6cc020a858f2def09df94ea386b99e4ad5a9ec4bd1356169c571e32b34f1f47	2026-07-21	NCBI Datasets 18.33.1
mock1_truth_crosswalk	publisher_supplement_s3+ncbi_reports	0	derived	17-mock1-truth.tsv	30138	35354d36ebc966915ad8866eb803a6f066a2777abfb548ae8855c274f837341a	2026-07-21	build_article17_truth.py
