PlatformKey	PlatformLabel	RunAccession	SampleAccession	LibraryLayout	HTTPSURL	ENAReportedMD5	ENABytes	ENAReadCount	ENABaseCount	StudyReportedMeanReadLengthBp	StudyReportedMaximumReadLengthBp	HistoricalMappedIdentityPercent	ChemistryBoundary	MetadataChecked
ONT	ONT MinION R9	ERR9765780	SAMEA14435832	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/000/ERR9765780/ERR9765780.fastq.gz	33eb90ac7437b0039180f03e7a697269	3117261341	696944	3125920499	4408.41	60869	89.08	Historical R9 reads; use the Flye nano-raw model, not a current R10 high-quality preset	2026-07-26
HiFi	PacBio Sequel II CCS	ERR9765783	SAMEA14435832	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/003/ERR9765783/ERR9765783.fastq.gz	02ec4bc541b4e1ec5d0f58e4a519f2cb	3982506052	524805	5400038744	10289.70	40278	99.72	Historical CCS/HiFi benchmark data; ENA instrument-model metadata and paper terminology are both retained	2026-07-26
