TaskID	PlatformKey	PlatformLabel	RunAccession	Mate	ExpectedRows	MetricSourceBytes	InputScope
1	Illumina	Illumina HiSeq 3000	ERR9765746	R1	5000	1740647656	first 5000 complete R1 records
2	ONT	ONT MinION R9	ERR9765780	SE	5000	3117261341	first 5000 complete records
3	PacBio	PacBio Sequel II CCS	ERR9765783	SE	5000	3982506052	first 5000 complete records
