ControlID	Study	ProjectAccession	SampleAccession	RunAccession	Mate	SourceStage	RelativePath	CompressedBytes	CompressedSHA256	Records	Bases	PairIDHash	License	SourceChecked
mock_truth	Meslier_2022	PRJEB52977	SAMEA14435832	ERR9765746	R1	Article13_fastp_clean	data/raw/article13/ERR9765746_clean_R1.fastq.gz	8661319	ce438de2814a6e605cc24b00e53b697d018f325bc2a9694cece5be158ff32101	99991	14974589	457cef6e9d603790dfbc26b716b0498169b54c31bc903d067d449d8dcc86770d	CC-BY-4.0	2026-07-22
mock_truth	Meslier_2022	PRJEB52977	SAMEA14435832	ERR9765746	R2	Article13_fastp_clean	data/raw/article13/ERR9765746_clean_R2.fastq.gz	10045722	207d080cd5dc98bd10fd4af8c492fb3f2000f73e1458a9d1d77e57347f4fe459	99991	14835184	457cef6e9d603790dfbc26b716b0498169b54c31bc903d067d449d8dcc86770d	CC-BY-4.0	2026-07-22
