Resource	SourceURL	RepositoryCommit	Bytes	MD5	SHA256	Role	LicenseBoundary	Checked
Official benchmark repository	https://forgemia.inra.fr/metagenopolis/benchmark_mock.git	a429a3724d4593f35b8d7323b20252a6be90e1cd	NA	NA	NA	Author code, reference genomes, Supplementary Table S1, and original assembly reports	Repository LICENSE is GPL-3.0	2026-07-27
Supplementary Table S1	https://forgemia.inra.fr/metagenopolis/benchmark_mock/-/raw/a429a3724d4593f35b8d7323b20252a6be90e1cd/script_r/Supplementary_Table_S1.xlsx	a429a3724d4593f35b8d7323b20252a6be90e1cd	43919	1d9197a213cce9b5d8a9a1b5ef6b1171	937653a56fea7fbfcbe35b3f35c721b4125072ba4ab04c44c9d454697240c6df	MOCK membership, expected abundance, and genome accessions	Source-study and repository terms retained	2026-07-27
Supplementary Table S2	https://static-content.springer.com/esm/art%3A10.1038%2Fs41597-022-01762-z/MediaObjects/41597_2022_1762_MOESM2_ESM.xlsx	NA	14775	b279595390293d2f6b3e61f975576c14	74004b9dd5e43b4b7a80e9a92bb17f76412c09d658f8ef77f76486645167f0f3	Published MOCK1 assembly-performance anchor	Scientific Data article is CC BY 4.0	2026-07-27
Combined MOCK1 reference	https://forgemia.inra.fr/metagenopolis/benchmark_mock/-/raw/a429a3724d4593f35b8d7323b20252a6be90e1cd/reference/MOCK_001.fasta.gz	a429a3724d4593f35b8d7323b20252a6be90e1cd	72590776	8f00304837acce40943d52ea6d68d068	ad2641ac155006387e722ae5ec8592fa077f9ab3cf411cc11f5757430b8e752f	Sequence-multiset audit of 71 separate MetaQUAST references	Underlying sequence accessions retain their source terms	2026-07-27
