method_code	method_label	treatment_stage	mechanism	host_mean_pct	reported_plusminus_pct	reagent_cost_usd_2018	significant_vs_untreated	participants	replicates_per_participant	source_location	microbial_pct	microbial_yield_fold_vs_untreated	total_reads_for_10m_microbial	total_reads_for_10m_microbial_millions
raw	Untreated	None	No wet-lab depletion	89.29	0.61	0	FALSE	8	3	Main text and Figure 2	10.71	1	93370681.6059758	93.3706816059758
fil	5-um filtration	Pre-extraction	Size filtration	89.69	0.84	NA	FALSE	8	3	Main text and Figure 2	10.31	0.962651727357611	96993210.4752667	96.9932104752667
neb	NEBNext enrichment	Post-extraction	Methylated host-DNA capture	90.83	0.77	30	FALSE	8	3	Main text and Figure 2	9.17	0.856209150326798	109051254.089422	109.051254089422
mol	MolYsis Basic	Pre-extraction	Selective host lysis and nuclease	62.88	3.46	7	TRUE	8	3	Main text and Figure 2	37.12	3.46591970121382	26939655.1724138	26.9396551724138
qia	QIAamp Microbiome	Pre-extraction	Selective host lysis and nuclease	29.17	5.04	10	TRUE	8	3	Main text and Figure 2	70.83	6.61344537815126	14118311.4499506	14.1183114499506
lypma	lyPMA	Pre-extraction	Osmotic host lysis and PMA	8.53	2.08	0.15	TRUE	8	3	Main text and Figure 2	91.47	8.5406162464986	10932546.1900077	10.9325461900077
