ControlID	ExpectedBoundary	StudyDOI	ProjectAccession	SampleAccession	RunAccession	InputStage	Mate	NominalReadLength	BrackenReadLength	CompressedSHA256	CompressedBytes	Records	Bases	PairIDSHA256	SelectionRule	SourceMetadataChecked
mock_truth	Known 71-assembly microbial mixture	10.1038/s41597-022-01762-z	PRJEB52977	SAMEA14435832	ERR9765746	fastp_clean_prefix100k	R1	150	150	ce438de2814a6e605cc24b00e53b697d018f325bc2a9694cece5be158ff32101	8661319	99991	14974589	457cef6e9d603790dfbc26b716b0498169b54c31bc903d067d449d8dcc86770d	Article 13 first-100000-pair branch after synchronized fastp filtering	2026-07-21
mock_truth	Known 71-assembly microbial mixture	10.1038/s41597-022-01762-z	PRJEB52977	SAMEA14435832	ERR9765746	fastp_clean_prefix100k	R2	150	150	207d080cd5dc98bd10fd4af8c492fb3f2000f73e1458a9d1d77e57347f4fe459	10045722	99991	14835184	457cef6e9d603790dfbc26b716b0498169b54c31bc903d067d449d8dcc86770d	Article 13 first-100000-pair branch after synchronized fastp filtering	2026-07-21
human_method_control	Human-rich method control; not an extraction blank	10.1038/nmeth.2834	PRJEB3381	SAMEA1573618	ERR194147	raw_prefix20k	R1	101	100	906a7ed253f496e29847a826e426201e6310b0980070d8664d1b58f57ddf8c8e	1202366	20000	2020000	f6006da01154f735c5d80dce94be41711c58e33fd1c0b4290c7fbe734a8b9a18	Article 14 first-20000-pair deterministic prefix from checksum-identified ENA mate	2026-07-21
human_method_control	Human-rich method control; not an extraction blank	10.1038/nmeth.2834	PRJEB3381	SAMEA1573618	ERR194147	raw_prefix20k	R2	101	100	5686d2a6080b8b9103854885d2f06507db05ae332faab1fe2d9cd18691f9b60a	1240150	20000	2020000	f6006da01154f735c5d80dce94be41711c58e33fd1c0b4290c7fbe734a8b9a18	Article 14 first-20000-pair deterministic prefix from checksum-identified ENA mate	2026-07-21
