Asset	Release	Source	ExpectedBytes	PublisherMD5	SHA256	License	Notes
AGORA201RefSeq216Species	MICOM database v1; AGORA 2.01; RefSeq 216; species rank	https://zenodo.org/api/records/7739096/files/agora201_refseq216_species_1.qza/content	264422408	6a13da2a3fd9b1bc059987d6344f32b6	8fb2ade5b970aadefd7e3c381b2fca3854e32082361507cf0e6f8dc32a3394dc	CC-BY-SA-4.0	Zenodo record 7739096; QIIME artifact UUID ce24d5f6-39ab-4abf-ad24-c4272006da01
AGORA2RefSeqSpeciesManifest	micom-dev/databases commit 327d78f91e993190269b4db888cc04b90911612e	https://raw.githubusercontent.com/micom-dev/databases/327d78f91e993190269b4db888cc04b90911612e/recipes/agora2/manifests/agora2_refseq_species.tsv	4775059	NA	fe1c7fd3ede1c2f96097c311294ecc674d7ca9320c0f806b619a4b83337905c3	Apache-2.0 repository	Source strain manifest; the QIIME database contains 1746 species-collapsed models
WesternDietGutAGORA	micom-dev/media commit 0a1d47154973bf777467629542dd274e32834dd9	https://raw.githubusercontent.com/micom-dev/workspace/western_diet_gut_agora.qza	9047	NA	a53d83b9c892e6c11dbb6ec22ab46fda136bebe7d0ecd14d4c5b716e1c5574fe	Apache-2.0 repository	171-reaction lower-intestinal average-European-diet proxy originally adapted to AGORA 1.03; AGORA 2.01 compatibility is audited rather than assumed
