Asset	Role	Tool	Release	Source	ExpectedBytes	PublisherMD5	SHA256	Redistribution	Note
Bacteria.tar.gz	Reference protein archive	gapseq	sequence DB v1.5 / Zenodo 20446806	https://zenodo.org/records/20446806/files/Bacteria.tar.gz?download=1	345520909	09db671cb466f6bab5edac698bd92d81	ec669d568a2e5459bfe6619865a3cd2612fb9edc3a9688ad45fdf619d2e1afeb	Not redistributed; downloaded by script	UniProt 2026_01 according to gapseq v2.1.0 release record
Archaea.tar.gz	Reference protein archive	gapseq	sequence DB v1.5 / Zenodo 20446806	https://zenodo.org/records/20446806/files/Archaea.tar.gz?download=1	16004564	6e3f14c5c494f656238d76ba71755e70	62e3cf8ed9b37494f864f840bf3d5f2a6d47869d9daf56e512f3fce091df51c7	Not redistributed; downloaded by script	UniProt 2026_01 according to gapseq v2.1.0 release record
md5sums.txt	Publisher checksum ledger	gapseq	sequence DB v1.5 / Zenodo 20446806	https://zenodo.org/records/20446806/files/md5sums.txt?download=1	397	ce43001a9bc26d1f5f20483223f17ea7	6fd16815ec42806cadc5ac34a06e4009535d9c7af9e748a1b6f1967314bc0a9c	Redistributable metadata	Locks the six nested sequence archives
universe_bacteria.xml.gz	Bacterial reaction universe	CarveMe	1.6.6	https://anaconda.org/bioconda/carveme/1.6.6/download/noarch/carveme-1.6.6-pyhdfd78af_1.conda	595770	NA	b983aec83c4f6c30ec58ded6684d15e90355e7d6c9d573747dde9d0bbae35d19	Installed with locked environment	Conda package SHA256 fb1ebf8335e32802bfb18f70b30492b8364a6f8748228c5a0237094402e00a99
universe_archaea.xml.gz	Archaeal reaction universe	CarveMe	1.6.6	https://anaconda.org/bioconda/carveme/1.6.6/download/noarch/carveme-1.6.6-pyhdfd78af_1.conda	616926	NA	e09da6a02ee95f2b1c1eff5fca0dc62c5b7e288ae8bf08078bcabd214fa38b2f	Installed with locked environment	Conda package SHA256 fb1ebf8335e32802bfb18f70b30492b8364a6f8748228c5a0237094402e00a99
bigg_proteins.dmnd	DIAMOND annotation database	CarveMe	1.6.6	https://anaconda.org/bioconda/carveme/1.6.6/download/noarch/carveme-1.6.6-pyhdfd78af_1.conda	12147703	NA	9f8f675dc43c1e18f040e76183be64440396760b180ff908ce39dc30e12440f7	Installed with locked environment	DIAMOND 2.1.13 is separately pinned
media_db.tsv	Built-in medium definitions	CarveMe	1.6.6	https://anaconda.org/bioconda/carveme/1.6.6/download/noarch/carveme-1.6.6-pyhdfd78af_1.conda	8711	NA	fab9ebde307ec626473fa8f546d22227b28f32289ecd4e26ea79d8cf086b78a2	Installed with locked environment	M9 and LB definitions used in the medium-sensitivity audit
