saponin_pct	treatment_label	sequenced_reads	high_quality_reads	nonhuman_reads	host_filtered_pct	gram_positive_pct	gram_negative_pct	source_location
0	Untreated	38545	37556	17595	53.15	17.25	82.75	Main Table 2 and Supplementary Table 6
0.0125	0.0125%	51453	48877	31094	36.38	57.75	42.25	Main Table 2 and Supplementary Table 6
0.05	0.05%	34712	33795	31860	5.73	59.75	40.25	Main Table 2 and Supplementary Table 6
0.1	0.1%	41873	40807	39754	2.58	63.05	36.95	Main Table 2 and Supplementary Table 6
0.5	0.5%	13420	13056	12774	2.16	65.02	34.98	Main Table 2 and Supplementary Table 6
1.5	1.5%	34688	33633	32716	2.73	77.60	22.40	Main Table 2 and Supplementary Table 6
2	2%	37528	36418	35249	3.21	75.75	24.25	Main Table 2 and Supplementary Table 6
