AssetRole	IndexName	Release	ToolVersion	AssetName	AssetURL	OfficialMD5	ArchiveBytes	ArchiveSHA256	OfficialLastModifiedUTC	ExtractedLocation	Status	SourceChecked
marker_metadata	mpa_vJan26_CHOCOPhlAnSGB_202605	vJan26_202605	4.2.5	mpa_vJan26_CHOCOPhlAnSGB_202605.tar	https://cmprod1.cibio.unitn.it/biobakery4/metaphlan_databases/mpa_vJan26_CHOCOPhlAnSGB_202605.tar	7162b0c3493663dce9abef08ccc06aea	6014095360	f945834fb9b8204a0b2235c51a41cd6084cc1965939a9768dd045e5c61c8c946	2026-07-14T12:26:00Z	${METAPHLAN_DB_DIR}	VERIFIED_AND_EXTRACTED	2026-07-21
bowtie2_index	mpa_vJan26_CHOCOPhlAnSGB_202605	vJan26_202605	4.2.5	mpa_vJan26_CHOCOPhlAnSGB_202605_bt2.tar	https://cmprod1.cibio.unitn.it/biobakery4/metaphlan_databases/bowtie2_indexes/mpa_vJan26_CHOCOPhlAnSGB_202605_bt2.tar	ac93e1e9c0829629266f5b6ab19c318d	41742510080	0df03a3d877be434c2e89b6cc3201d92c387215700ad66b44585e8883e87bb26	2026-07-14T13:44:49Z	${METAPHLAN_DB_DIR}	VERIFIED_AND_EXTRACTED	2026-07-21
