method_code	method_label	treatment_stage	mechanism	host_mean_pct	reported_plusminus_pct	reagent_cost_usd_2018	significant_vs_untreated	participants	replicates_per_participant	source_location
raw	Untreated	None	No wet-lab depletion	89.29	0.61	0	FALSE	8	3	Main text and Figure 2
fil	5-um filtration	Pre-extraction	Size filtration	89.69	0.84	NA	FALSE	8	3	Main text and Figure 2
neb	NEBNext enrichment	Post-extraction	Methylated host-DNA capture	90.83	0.77	30	FALSE	8	3	Main text and Figure 2
mol	MolYsis Basic	Pre-extraction	Selective host lysis and nuclease	62.88	3.46	7	TRUE	8	3	Main text and Figure 2
qia	QIAamp Microbiome	Pre-extraction	Selective host lysis and nuclease	29.17	5.04	10	TRUE	8	3	Main text and Figure 2
lypma	lyPMA	Pre-extraction	Osmotic host lysis and PMA	8.53	2.08	0.15	TRUE	8	3	Main text and Figure 2
