Database	Release	File	Bytes	SHA256	Role
Pfam	35.0	pfam/35.0/Pfam-A.hmm	1572192814	8d3e2ffa785f91ee0e24a3994d2dcfff6f382e3cf663784a47688e7d95297fee	antiSMASH core profile HMMs
MIBiG knownclusterblast	4.0	knownclusterblast/4.0/clusters.txt	1040440	47210c4a0af91d535f8ad3685b53b6c7d9912984721fb605dc0ef143f60e865f	known BGC metadata
MIBiG knownclusterblast	4.0	knownclusterblast/4.0/proteins.dmnd	28855540	0a6ec5df3f1f758dcfdd0d1177e8e8ebe4a1c534c771a86c155b0514e776c668	known BGC protein search
MIBiG clustercompare	4.0	clustercompare/mibig/4.0/data.json	17132594	0d5d6544b9a94564d2f9ef957a415672acf82afb00aef1ad9ac779e06f637faa	MIBiG comparison metadata
MIBiG clustercompare	4.0	clustercompare/mibig/4.0/proteins.dmnd	26463272	0ee188ca2d04319ae109d6eede5a5586e6bae906337d420916f73c63ef3cd323	MIBiG comparison search
MITE	1.3	mite/1.3/metadata.json	28300	4a83153df89ae754533ad7701c7407fc5d4b50fd09fae3654e52cc14e43aa202	minimal information about tailoring enzymes
MITE	1.3	mite/1.3/mite.db.dmnd	77163	c30864e4eb67aeae85d1db05cff9a7fa2a844e472513aec1cf83e49eca20dcc4	MITE protein search
