Question	Read profiling	Gene / contig-centric	Genome resolved
Large-cohort species association	2	1	1
Known strain or SNV comparison	2	1	1
Novel gene discovery	0	2	1
Genomic neighborhood and mobile context	0	2	2
Recovery of uncultured genomes	0	0	2
Per-genome pathway reconstruction	0	1	2
Fastest route from FASTQ to a cohort table	2	1	0
