Read_subsample	Adjusted_effort_bp	Mean_redundancy	Q1_redundancy	Median_redundancy	Q3_redundancy	Mean_coverage	Q1_coverage	Median_coverage	Q3_coverage
0	0	0	0	0	0	0	0	0	0
1	429.259196358515	0	0	0	0	0	0	0	0
2	802.254921863453	0	0	0	0	0	0	0	0
3	1156.60211767567	0	0	0	0	0	0	0	0
4	1499.35741648408	0	0	0	0	0	0	0	0
6	2161.60713483709	0	0	0	0	0	0	0	0
9	3116.36528689436	0	0	0	0	0	0	0	0
12	4039.89006588422	0	0	0	0	0	0	0	0
18	5824.26517811241	0	0	0	0	0	0	0	0
25	7833.52854040989	0	0	0	0	0	0	0	0
36	10885.1375696005	0	0	0	0	0	0	0	0
51	14904.2246358538	0	0	0	0	0	0	0	0
73	20598.2953181495	0	0	0	0	0	0	0	0
105	28593.0331311405	0	0	0	0	0	0	0	0
150	39447.0551302006	0	0	0	0	0	0	0	0
214	54355.8340349212	0	0	0	0	0	0	0	0
305	74831.4175183018	0	0	0	0	0	0	0	0
436	103298.777587814	0	0	0	0	0	0	0	0
623	142540.868205261	0	0	0	0	0	0	0	0
890	196649.913306182	0	0	0	0	0	0	0	0
1272	271408.959860251	0	0	0	0	0	0	0	0
1817	374410.254720162	0	0	0	0	0	0	0	0
2596	516589.079549055	0.00098	0	0	0	0.00177672696238865	0	0	0
3709	712762.526192126	0.00098	0	0	0	0.00177672696238865	0	0	0
5298	983234.16077595	0.00098	0	0	0	0.00177672696238865	0	0	0
7569	1356542.81379802	0.00195	0	0	0	0.0033324791514685	0	0	0
10813	1871513.83225973	0.0061	0	0	0	0.00945206126159132	0	0	0
15447	2581925.91861722	0.01042	0	0	0	0.0154203408079132	0	0	0
22067	3562013.82048735	0.01105	0	0	0	0.0162704306888173	0	0	0
31524	4914127.36610395	0.02159	0	0	0	0.0300128778989642	0	0	0
45035	6779645.45360133	0.03709	0	0	0	0.0492186373227867	0	0	0
64335	9353130.45959058	0.04559	0	0	0	0.0594355611769536	0	0	0
91907	12903595.5639858	0.06616	0	0	0.125	0.0835378303291085	0	0	0.149440294605379
131296	17801883.5077801	0.08987	0	0.08333	0.14286	0.110529624504992	0	0.103153355127633	0.168844621959684
187566	24559578.622571	0.12104	0.0625	0.11111	0.17647	0.145106651011068	0.0793031223296025	0.134185077131702	0.204817503661745
267951	33882437.3560852	0.14775	0.09091	0.14286	0.2	0.174120047057452	0.111698276931674	0.168844621959684	0.22964542515632
382788	46744431.3580119	0.19963	0.14286	0.19231	0.25	0.229257036011141	0.168844621959684	0.221560354947181	0.281608100610765
546839	64488685.4122059	0.24887	0.20455	0.24444	0.29268	0.280444320219184	0.234416554886813	0.27587749019075	0.325251575447665
781199	88968874.9068877	0.30423	0.26316	0.30303	0.34091	0.33696503399227	0.295128811582616	0.335749853642707	0.373918379235566
1115999	122741834.11013	0.35499	0.32394	0.35366	0.38961	0.388010720671858	0.356866729618324	0.386681637251538	0.422461302859057
1594284	169335064.659339	0.40969	0.38017	0.40909	0.43636	0.442321286629124	0.413094583927248	0.441729092513898	0.468570759331219
2277549	233615326.310053	0.45964	0.43478	0.46061	0.48611	0.49137097432158	0.467019594390484	0.492318797064588	0.517175457715487
3253641	322296537.019543	0.51056	0.49145	0.51073	0.53061	0.540903556217623	0.522366368294305	0.54106818994005	0.560288641573663
4648058	444641454.986955	0.55589	0.5418	0.55618	0.57	0.584641059063347	0.571080072186859	0.584919858413421	0.598191742022063
6640083	613429021.26032	0.59493	0.5835	0.59454	0.6078	0.622063649307719	0.611129654276357	0.621690872551845	0.634353597513677
9485833	846288976.686192	0.63041	0.62213	0.63083	0.63925	0.655890795801109	0.648011491828716	0.656290232852315	0.664293198256214
13551190	1167543428.02	0.65906	0.65524	0.65927	0.66331	0.683086568539489	0.679466427470902	0.683285529184601	0.68711209571577
