StudyDOI	ProjectAccession	SampleAccession	RunAccession	InputStage	Mate	CompressedSHA256	CompressedBytes	Records	Bases	SelectionRule	SourceMetadataChecked
10.1038/s41597-022-01762-z	PRJEB52977	SAMEA14435832	ERR9765746	fastp_clean_prefix100k	R1	ce438de2814a6e605cc24b00e53b697d018f325bc2a9694cece5be158ff32101	8661319	99991	14974589	Article 13 first-100000-pair branch after synchronized fastp filtering	2026-07-21
10.1038/s41597-022-01762-z	PRJEB52977	SAMEA14435832	ERR9765746	fastp_clean_prefix100k	R2	207d080cd5dc98bd10fd4af8c492fb3f2000f73e1458a9d1d77e57347f4fe459	10045722	99991	14835184	Article 13 first-100000-pair branch after synchronized fastp filtering	2026-07-21
