StudyDOI	ProjectAccession	SampleAccession	RunAccession	Mate	Layout	Instrument	HTTPSURL	ENAReportedMD5	ENABytes	PrefixRecords	SelectionRule	SourceMetadataChecked
10.1038/s41597-022-01762-z	PRJEB52977	SAMEA14435832	ERR9765746	R1	PAIRED	Illumina HiSeq 3000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/006/ERR9765746/ERR9765746_1.fastq.gz	ed0e6e0ee846542531c742a45181cd6f	1740647656	100000	First 100000 complete FASTQ records in the checksum-identified ENA file	2026-07-20
10.1038/s41597-022-01762-z	PRJEB52977	SAMEA14435832	ERR9765746	R2	PAIRED	Illumina HiSeq 3000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/006/ERR9765746/ERR9765746_2.fastq.gz	5b60ac93cb69dff77ae38cfa501afd06	2104551765	100000	First 100000 complete FASTQ records in the checksum-identified ENA file	2026-07-20
