database_id	tool	tool_version	release_id	release_date	archive_url	checksum_algorithm	expected_checksum	expected_compressed_bytes	expected_installed_bytes	download_gate	validation_status	notes
metaphlan-vjun23-metadata	MetaPhlAn	4.2.5	mpa_vJun23_CHOCOPhlAnSGB_202403-metadata	2024-03-11	https://cmprod1.cibio.unitn.it/biobakery4/metaphlan_databases/mpa_vJun23_CHOCOPhlAnSGB_202403.tar	md5	d985de75a217cd319e721863f68e7d33	3316336640	26306067254	enabled	PUBLISHER_MD5_AVAILABLE	last-modified=2024-03-11T13:27:48Z;etag=c5ab4800-6136281f50b3d
metaphlan-vjun23-bowtie2	MetaPhlAn	4.2.5	mpa_vJun23_CHOCOPhlAnSGB_202403-bowtie2	2024-03-11	https://cmprod1.cibio.unitn.it/biobakery4/metaphlan_databases/bowtie2_indexes/mpa_vJun23_CHOCOPhlAnSGB_202403_bt2.tar	md5	8caae86b4d2931416cbdbb92f5985cef	22989752320	26306067254	enabled	PUBLISHER_MD5_AVAILABLE	last-modified=2024-03-11T14:03:07Z;etag=55a4bc800-61363004c2418
humann-chocophlan-full	HUMAnN	3.9	v201901_v31-full	2019-01-01	https://huttenhower.sph.harvard.edu/humann_data/chocophlan/full_chocophlan.v201901_v31.tar.gz	sha256	7ed1b9e159838d125462f4723f98887fcb27f8e3e90f3490768c986d65d55f7b	16502062909	16497929304	enabled	RETRIEVAL_SHA256_LOCKED	release-month-from-version-label;publisher-sidecar-checksum-404;final-host-is-versioned-Globus-path;archive-traversal-pass
humann-uniref90-full	HUMAnN	3.9	v201901b-uniref90-annotated-full	2019-01-01	https://huttenhower.sph.harvard.edu/humann_data/uniprot/uniref_annotated/uniref90_annotated_v201901b_full.tar.gz	sha256	1fe799bb8824b0a9720c10887ee2ef2c3386462ed4a89bd8941c0a8b2cac07d2	20579913329	36332007356	enabled	RETRIEVAL_SHA256_LOCKED	release-month-from-version-label;publisher-sidecar-checksum-404;full-annotated-DIAMOND-database;archive-traversal-pass
