sample	hotspring	hotspring_common_name	region	broad_region_short	latitude	longitude	date	year	pH	temperature	conductivity	temperature_regime	type	sequencing_platform	metagenome_SRR	metagenome_SAMN	raw_Nsequences	filtered_Nsequences	metagenome2MAG_read_recruitment_rate
AB22.2.2	AB22		Borax Lake	ALV	42.329715	-118.60396	2022.07.31	2022	8.07	38.1	2.41	30_50	mat	Illumina NovaSeq X Plus	SRR32674761	SAMN47273700	31071694	26899673	0.18892
AB22.2.3	AB22		Borax Lake	ALV	42.329788	-118.60396	2022.07.31	2022	7.96	37.8	2.4	30_50	mat	Illumina NovaSeq X Plus	SRR32674831	SAMN47273701	31626385	20999649	0.143585
AB22.2.4	AB22		Borax Lake	ALV	42.330098	-118.60391	2022.07.31	2022	7.63	43	2.37	30_50	mat	Illumina NovaSeq X Plus	SRR32674820	SAMN47273702	35834128	26804281	0.22538
AB22.2.5	AB22		Borax Lake	ALV	42.330096	-118.60397	2022.07.31	2022	7.26	54.5	2.4	50_70	mat	Illumina NovaSeq X Plus	SRR32674904	SAMN47273703	37332396	25945819	0.160085
AB22.3.1	AB22		Borax Lake	ALV	42.329756	-118.60396	2023.09.13	2023	6.8	86.2	2.39	80_100	mat	Illumina NovaSeq X Plus	SRR32674935	SAMN47273841	30130457	20943040	0.096615
AB22.3.2	AB22		Borax Lake	ALV	42.329756	-118.60397	2023.09.13	2023	6.78	55.3	2.41	50_70	mat	Illumina NovaSeq X Plus	SRR32674934	SAMN47273842	31863934	21647058	0.11818
AB22.3.3	AB22		Borax Lake	ALV	42.329768	-118.60395	2023.09.13	2023	6.76	33.7	2.4	30_50	mat	Illumina NovaSeq X Plus	SRR32674933	SAMN47273843	30855900	20936948	0.17709
AB22.3.4	AB22		Borax Lake	ALV	42.330108	-118.60391	2023.09.13	2023	6.77	23.4		below_30	mat	Illumina NovaSeq X Plus	SRR32674931	SAMN47273844	3132719	2243575	0.05963
AB22.3.5	AB22		Borax Lake	ALV	42.330096	-118.60389	2023.09.13	2023	6.77	45.7	2.3	30_50	mat	Illumina NovaSeq X Plus	SRR32674930	SAMN47273845	36002316	25407541	0.1153
AB31.0.1	AB31		Borax Lake	ALV	42.333237	-118.60338	2020.08.12	2020	6.763333333	75.3	1.99	70_80	mat	Illumina NextSeq2000	SRR32625373	SAMN47273209	2129381	870252	0.125245
AB31.1.1	AB31		Borax Lake	ALV	42.333221	-118.60341	2021.09.12	2021	6.86	73	2.39	70_80	mat	Illumina NextSeq2000	SRR32625358	SAMN47273338	1681717	808528	0.07945
AB31.2.1	AB31		Borax Lake	ALV	42.333223	-118.60333	2022.08.01	2022	6.84	74	2.27	70_80	mat	Illumina NovaSeq X Plus	SRR32674898	SAMN47273704	32741565	21463515	0.101905
AB31.3.1	AB31		Borax Lake	ALV	42.333215	-118.60334	2023.09.12	2023	7.94	66.8	2.33	50_70	mat	Illumina NovaSeq X Plus	SRR32674929	SAMN47273846	46987574	33835719	0.106345
AB32.0.1	AB32		Borax Lake	ALV	42.333151	-118.60338	2020.08.12	2020	6.827777778	69.9	1.94	50_70	mat	Illumina NextSeq2000	SRR32625372	SAMN47273211	5753694	2666189	0.08373
AB32.1.1	AB32		Borax Lake	ALV	42.333168	-118.6034	2021.09.12	2021	6.9	66.6	2.38	50_70	mat	Illumina NextSeq2000	SRR32625357	SAMN47273339	3256934	1642709	0.085565
AB32.2.1	AB32		Borax Lake	ALV	42.333183	-118.60333	2022.08.01	2022	6.94	64	2.23	50_70	mat	Illumina NovaSeq X Plus	SRR32674897	SAMN47273705	30501176	20595983	0.07315
AB32.3.1	AB32		Borax Lake	ALV	42.333206	-118.60328	2023.09.12	2023	6.93	72.5	2.19	70_80	mat	Illumina NovaSeq X Plus	SRR32674928	SAMN47273847	32227376	22113495	0.090605
AB35.1.1	AB35	Borax Lake	Borax Lake	ALV	42.326785	-118.60378	2021.09.12	2021	7.25	33.1	2.6	30_50	flakes	Illumina NextSeq2000	SRR32625356	SAMN47273340	2634888	1215174	0.047875
AB35.2.1	AB35	Borax Lake	Borax Lake	ALV	42.326838	-118.60408	2022.07.31	2022	7.46	35.4	2.5	30_50	flakes	Illumina NovaSeq X Plus	SRR32674896	SAMN47273706	36221025	24166930	0.063395
AB35.2.2	AB35	Borax Lake	Borax Lake	ALV	42.327336	-118.60443	2022.08.01	2022	6.76	35.5	2.62	30_50	flakes	Illumina NovaSeq X Plus	SRR32674895	SAMN47273707	34823952	23809852	0.066605
AB35.3.1	AB35	Borax Lake	Borax Lake	ALV	42.326912	-118.60386	2023.09.12	2023	6.76	34.1	2.45	30_50	mat	Illumina NovaSeq X Plus	SRR32674927	SAMN47273848	27562308	18931551	0.069525
AB35.3.2	AB35	Borax Lake	Borax Lake	ALV	42.327438	-118.60428	2023.09.12	2023	6.76	36.5	2.45	30_50	mat	Illumina NovaSeq X Plus	SRR32674926	SAMN47273849	29970598	20799566	0.043675
AM01.0.1	AM01		Soldier Meadows	BLR	41.352572	-119.21771	2020.08.14	2020	8.696666667	56	0.37	50_70	mat	Illumina NextSeq2000	SRR32625371	SAMN47273212	13418752	6752556	0.124725
AM01.0.2	AM01		Soldier Meadows	BLR	41.352548	-119.2177	2020.08.14	2020	8.707407407	55.1	0.36	50_70	mat	Illumina NextSeq2000	SRR32625370	SAMN47273213	16542073	7934369	0.10529
AM01.0.3	AM01		Soldier Meadows	BLR	41.352564	-119.21763	2020.08.14	2020	8.632222222	55.1	0.37	50_70	mat	Illumina NextSeq2000	SRR32625369	SAMN47273214	3625445	1845995	0.13864
AM01.0.4	AM01		Soldier Meadows	BLR	41.352546	-119.21762	2020.08.14	2020	8.73962963	51	0.37	50_70	mat	Illumina NextSeq2000	SRR32625368	SAMN47273215	811435	376199	0.08543
AM01.0.5	AM01		Soldier Meadows	BLR	41.352538	-119.21753	2020.08.14	2020	8.728888889	47.5	0.36	30_50	mat	Illumina NextSeq2000	SRR32625367	SAMN47273216	4689133	2307191	0.180745
AM01.0.6	AM01		Soldier Meadows	BLR	41.352508	-119.21745	2020.08.14	2020	8.428148148	45.7	0.36	30_50	mat	Illumina NextSeq2000	SRR32625366	SAMN47273217	4227406	2083006	0.127745
AM01.0.7	AM01		Soldier Meadows	BLR	41.352463	-119.2174	2020.08.14	2020	8.664444444	51.9	0.37	50_70	mat	Illumina NextSeq2000	SRR32625266	SAMN47273218	3856083	1799827	0.22986
AM01.1.1	AM01		Soldier Meadows	BLR	41.352636	-119.21769	2021.09.13	2021	8.48	53.7	0.421	50_70	mat	Illumina NextSeq2000	SRR32625355	SAMN47273341	11915196	6222033	0.125155
AM01.1.2	AM01		Soldier Meadows	BLR	41.352606	-119.21768	2021.09.13	2021	8.99	51.9	0.429	50_70	mat	Illumina NextSeq2000	SRR32625354	SAMN47273342	9886257	4879872	0.245415
AM01.1.3	AM01		Soldier Meadows	BLR	41.35258	-119.21766	2021.09.13	2021	8.44	53	0.422	50_70	mat	Illumina NextSeq2000	SRR32625353	SAMN47273343	1688966	829477	0.119035
AM01.1.4	AM01		Soldier Meadows	BLR	41.352522	-119.21751	2021.09.13	2021	8.88	31.8		30_50	mat	Illumina NextSeq2000	SRR32625352	SAMN47273344	10837820	5206096	0.254005
AM01.1.5	AM01		Soldier Meadows	BLR	41.352508	-119.21748	2021.09.13	2021	8.7	49.9		30_50	mat	Illumina NextSeq2000	SRR32625351	SAMN47273345	2170855	1033809	0.11664
AM01.2.10	AM01		Soldier Meadows	BLR	41.352502	-119.21753	2022.08.02	2022		36.5		30_50	mat	Illumina NovaSeq X Plus	SRR32674893	SAMN47273709	32797007	22926962	0.187005
AM01.2.11	AM01		Soldier Meadows	BLR	41.352502	-119.21753	2022.08.02	2022		35.9		30_50	mat	Illumina NovaSeq X Plus	SRR32674892	SAMN47273710	30903100	21501301	0.191545
AM01.2.12	AM01		Soldier Meadows	BLR	41.352502	-119.21753	2022.08.02	2022		35.8		30_50	mat	Illumina NovaSeq X Plus	SRR32674891	SAMN47273711	48241700	34860285	0.21727
AM01.2.13	AM01		Soldier Meadows	BLR	41.352502	-119.21753	2022.08.02	2022		38.8		30_50	mat	Illumina NovaSeq X Plus	SRR32674890	SAMN47273712	33243580	23987360	0.22051
AM01.2.1	AM01		Soldier Meadows	BLR	41.352568	-119.21761	2022.08.01	2022	8.42	53.6	0.414	50_70	mat	Illumina NovaSeq X Plus	SRR32674894	SAMN47273708	41806579	27216491	0.16793
AM01.2.2	AM01		Soldier Meadows	BLR	41.352533	-119.21766	2022.08.01	2022	8.52	52.6	0.411	50_70	mat	Illumina NovaSeq X Plus	SRR32674888	SAMN47273713	37695986	25354348	0.180065
AM01.2.3	AM01		Soldier Meadows	BLR	41.352515	-119.21756	2022.08.01	2022	8.63	48.2	0.413	30_50	mat	Illumina NovaSeq X Plus	SRR32674887	SAMN47273714	37142867	25239609	0.176035
AM01.2.4	AM01		Soldier Meadows	BLR	41.352529	-119.2175	2022.08.01	2022	8.57	46		30_50	mat	Illumina NovaSeq X Plus	SRR32674886	SAMN47273715	39318360	27220121	0.21081
AM01.2.5	AM01		Soldier Meadows	BLR	41.352502	-119.21753	2022.08.01	2022	9.54	30.8		30_50	mat	Illumina NovaSeq X Plus	SRR32674885	SAMN47273716	28353681	19834795	0.12741
AM01.2.6	AM01		Soldier Meadows	BLR	41.352435	-119.21741	2022.08.02	2022	8.54	49.9	0.414	30_50	filaments	Illumina NovaSeq X Plus	SRR32674884	SAMN47273717	35586886	25316054	0.122195
AM01.2.7	AM01		Soldier Meadows	BLR	41.352273	-119.21722	2022.08.02	2022	8.48	47.9	0.413	30_50	filaments	Illumina NovaSeq X Plus	SRR32674883	SAMN47273718	38221612	26647556	0.28846
AM01.2.8	AM01		Soldier Meadows	BLR	41.352502	-119.21753	2022.08.02	2022		34.8		30_50	mat	Illumina NovaSeq X Plus	SRR32674882	SAMN47273719	26744105	18518574	0.13575
AM01.2.9	AM01		Soldier Meadows	BLR	41.352502	-119.21753	2022.08.02	2022		34.8		30_50	mat	Illumina NovaSeq X Plus	SRR32674881	SAMN47273720	31246737	21851262	0.178815
AM01.3.1	AM01		Soldier Meadows	BLR	41.352582	-119.21765	2023.09.14	2023	6.78	52.4	0.4017	50_70	mat	Illumina NovaSeq X Plus	SRR32674925	SAMN47273850	32554937	23050499	0.124935
AM01.3.2	AM01		Soldier Meadows	BLR	41.352567	-119.21766	2023.09.14	2023	6.78	50.8		50_70	mat	Illumina NovaSeq X Plus	SRR32674924	SAMN47273851	31413372	23008892	0.07525
AM01.3.3	AM01		Soldier Meadows	BLR	41.352507	-119.21764	2023.09.14	2023	6.78	52.4	0.3997	50_70	mat	Illumina NovaSeq X Plus	SRR32674923	SAMN47273852	31162274	21197384	0.108475
AM01.3.4	AM01		Soldier Meadows	BLR	41.352567	-119.21759	2023.09.14	2023	6.78	52.2	0.4018	50_70	mat	Illumina NovaSeq X Plus	SRR32674922	SAMN47273853	30328782	21292011	0.177155
AM01.3.5	AM01		Soldier Meadows	BLR	41.352542	-119.21753	2023.09.14	2023	6.78	51.8	0.4018	50_70	mat	Illumina NovaSeq X Plus	SRR32674920	SAMN47273854	31970020	21992577	0.13074
AM01.3.6	AM01		Soldier Meadows	BLR	41.352555	-119.21748	2023.09.14	2023	6.77	47.5	0.3988	30_50	mat	Illumina NovaSeq X Plus	SRR32674919	SAMN47273855	38937684	27226972	0.13758
AM01.3.7	AM01		Soldier Meadows	BLR	41.352438	-119.21738	2023.09.14	2023	6.78	50	0.4024	50_70	filaments	Illumina NovaSeq X Plus	SRR32674918	SAMN47273856	21563957	14508860	0.16444
AM01.3.8	AM01		Soldier Meadows	BLR	41.352313	-119.2172	2023.09.14	2023	6.77	48.4	0.4015	30_50	mat	Illumina NovaSeq X Plus	SRR32674917	SAMN47273857	36858162	25288915	0.13083
AM02.0.1	AM02		Soldier Meadows	BLR	41.357057	-119.18905	2020.08.14	2020	8.664444444	58.6	0.37	50_70	mat	Illumina NextSeq2000	SRR32625264	SAMN47273219	5276675	2569198	0.100735
AM02.0.2	AM02		Soldier Meadows	BLR	41.356978	-119.18906	2020.08.14	2020	8.621481481	58	0.37	50_70	mat	Illumina NextSeq2000	SRR32625263	SAMN47273220	5420361	2638103	0.10286
AM02.0.3	AM02		Soldier Meadows	BLR	41.356917	-119.18903	2020.08.14	2020	8.75037037	55.6	0.37	50_70	mat	Illumina NextSeq2000	SRR32625262	SAMN47273221	4346456	2076967	0.106935
AM02.0.4	AM02		Soldier Meadows	BLR	41.356925	-119.18897	2020.08.14	2020	8.621481481	57.2	0.37	50_70	filament	Illumina NextSeq2000	SRR32625261	SAMN47273222	4668041	2265724	0.18999
AM02.0.5	AM02		Soldier Meadows	BLR	41.356913	-119.1889	2020.08.14	2020	8.653703704	57	0.37	50_70	mat	Illumina NextSeq2000	SRR32625260	SAMN47273223	7552712	3745678	0.156005
AM02.0.6	AM02		Soldier Meadows	BLR	41.356884	-119.18887	2020.08.14	2020	8.653703704	57	0.37	50_70	mat	Illumina NextSeq2000	SRR32625259	SAMN47273224	11862915	5799321	0.17544
AM02.0.7	AM02		Soldier Meadows	BLR	41.356736	-119.18888	2020.08.14	2020	8.825555556	55.2	0.37	50_70	mat	Illumina NextSeq2000	SRR32625258	SAMN47273225	8137270	3871919	0.13037
AM02.0.8	AM02		Soldier Meadows	BLR	41.356713	-119.18886	2020.08.14	2020	8.73962963	55.3	0.37	50_70	mat	Illumina NextSeq2000	SRR32625257	SAMN47273226	4767860	2319816	0.12346
AM02.1.1	AM02		Soldier Meadows	BLR	41.357029	-119.18903	2021.09.13	2021	8.5	56.2	0.429	50_70	mat	Illumina NextSeq2000	SRR32625350	SAMN47273346	1729621	819085	0.112295
AM02.1.2	AM02		Soldier Meadows	BLR	41.356969	-119.18903	2021.09.13	2021	8.5	56.2	0.429	50_70	mat	Illumina NextSeq2000	SRR32625349	SAMN47273347	1415274	682494	0.193875
AM02.1.3	AM02		Soldier Meadows	BLR	41.356951	-119.18896	2021.09.13	2021	8.53	52	0.431	50_70	mat	Illumina NextSeq2000	SRR32625347	SAMN47273348	4187565	1961463	0.27363
AM02.1.4	AM02		Soldier Meadows	BLR	41.356903	-119.18892	2021.09.13	2021	8.43	55.6	0.431	50_70	filaments	Illumina NextSeq2000	SRR32625346	SAMN47273349	516315	240094	0.179355
AM02.1.5	AM02		Soldier Meadows	BLR	41.356824	-119.18886	2021.09.13	2021	8.5	55.2	0.431	50_70	mat	Illumina NextSeq2000	SRR32625345	SAMN47273350	1081529	522222	0.197515
AM02.2.1	AM02		Soldier Meadows	BLR	41.357057	-119.18903	2022.08.02	2022	8.41	55.2	0.419	50_70	mat	Illumina NovaSeq X Plus	SRR32674880	SAMN47273721	31830878	21020194	0.15408
AM02.2.2	AM02		Soldier Meadows	BLR	41.357012	-119.18903	2022.08.02	2022	8.44	56.4	0.417	50_70	mat	Illumina NovaSeq X Plus	SRR32674879	SAMN47273722	41930322	29916165	0.123395
AM02.2.3	AM02		Soldier Meadows	BLR	41.356977	-119.18903	2022.08.02	2022	8.82	50	0.423	50_70	mat	Illumina NovaSeq X Plus	SRR32674877	SAMN47273723	39215833	27049146	0.151815
AM02.2.4	AM02		Soldier Meadows	BLR	41.356978	-119.18906	2022.08.02	2022	8.48	55.4	0.419	50_70	mat	Illumina NovaSeq X Plus	SRR32674876	SAMN47273724	50721213	36692543	0.17921
AM02.2.5	AM02		Soldier Meadows	BLR	41.356943	-119.18897	2022.08.02	2022	8.49	54.8	0.415	50_70	filaments	Illumina NovaSeq X Plus	SRR32674875	SAMN47273725	47147512	32922928	0.210205
AM02.2.6	AM02		Soldier Meadows	BLR	41.356883	-119.18892	2022.08.02	2022	8.7	48.5	0.415	30_50	mat	Illumina NovaSeq X Plus	SRR32674874	SAMN47273726	47770090	33693487	0.166115
AM02.2.7	AM02		Soldier Meadows	BLR	41.356678	-119.18886	2022.08.02	2022	8.55	51.2	0.418	50_70	mat	Illumina NovaSeq X Plus	SRR32674873	SAMN47273727	38595877	28519859	0.21802
AM02.2.8	AM02		Soldier Meadows	BLR	41.356553	-119.18879	2022.08.02	2022	8.56	51.4	0.414	50_70	mat	Illumina NovaSeq X Plus	SRR32674759	SAMN47273728	27854530	18798936	0.17389
AM02.3.1	AM02		Soldier Meadows	BLR	41.357059	-119.18902	2023.09.14	2023	6.78	56.7	0.4045	50_70	mat	Illumina NovaSeq X Plus	SRR32674916	SAMN47273858	28055578	19705087	0.148935
AM02.3.2	AM02		Soldier Meadows	BLR	41.357013	-119.18909	2023.09.14	2023	6.75	56.5	0.4058	50_70	mat	Illumina NovaSeq X Plus	SRR32674915	SAMN47273859	36416902	24459254	0.08295
AM02.3.3	AM02		Soldier Meadows	BLR	41.357012	-119.18906	2023.09.14	2023	6.78	56.2	0.4069	50_70	mat	Illumina NovaSeq X Plus	SRR32674914	SAMN47273860	31273099	21584664	0.13817
AM02.3.4	AM02		Soldier Meadows	BLR	41.356988	-119.18904	2023.09.14	2023	6.78	55.7	0.4068	50_70	mat	Illumina NovaSeq X Plus	SRR32674913	SAMN47273861	31617998	21926990	0.154195
AM02.3.5	AM02		Soldier Meadows	BLR	41.356978	-119.18902	2023.09.14	2023	6.78	52.7	0.405	50_70	mat	Illumina NovaSeq X Plus	SRR32674912	SAMN47273862	32294122	22414339	0.13214
AM02.3.6	AM02		Soldier Meadows	BLR	41.356956	-119.18895	2023.09.14	2023	6.78	55.2	0.4074	50_70	mat_and_filaments	Illumina NovaSeq X Plus	SRR32674911	SAMN47273863	41791931	28531401	0.18178
AM02.3.7	AM02		Soldier Meadows	BLR	41.35665	-119.18879	2023.09.14	2023	6.77	44.9	0.405	30_50	mat	Illumina NovaSeq X Plus	SRR32674909	SAMN47273864	27837513	19615354	0.133875
AM02.3.8	AM02		Soldier Meadows	BLR	41.356539	-119.18879	2023.09.14	2023	6.78	52.1	0.407	50_70	filaments	Illumina NovaSeq X Plus	SRR32674908	SAMN47273865	37535280	26393609	0.171185
AR01A.0.1	AR01	Double Hot Springs	Black Rock Desert	BLR	41.050939	-119.02652	2020.08.14	2020	7.751481481	76.5	0.94	70_80	sediment	Illumina NextSeq2000	SRR32625256	SAMN47273227	2363142	935944	0.05094
AR01A.3.1	AR01	Double Hot Springs	Black Rock Desert	BLR	41.050958	-119.02651	2023.09.15	2023	6.79	74.6	0.985	70_80	mat	Illumina NovaSeq X Plus	SRR32674907	SAMN47273866	34501747	23779681	0.054115
AR01B.0.1	AR01	Double Hot Springs	Black Rock Desert	BLR	41.050977	-119.02641	2020.08.14	2020	8.062962963	57.6	0.93	50_70	mat	Illumina NextSeq2000	SRR32625255	SAMN47273228	2164029	890682	0.10497
AR01B.1.1	AR01	Double Hot Springs	Black Rock Desert	BLR	41.050947	-119.02641	2021.09.14	2021	8.1	55.3	1.056	50_70	mat	Illumina NextSeq2000	SRR32625344	SAMN47273352	2094369	942662	0.15597
AR01B.2.1	AR01	Double Hot Springs	Black Rock Desert	BLR	41.050962	-119.02639	2022.08.02	2022	8.05	55.3	1.012	50_70	mat	Illumina NovaSeq X Plus	SRR32674758	SAMN47273730	40223246	28038938	0.14713
AR01B.3.1	AR01	Double Hot Springs	Black Rock Desert	BLR	41.050898	-119.02636	2023.09.15	2023	7.8	86.5	1.126	80_100	mat	Illumina NovaSeq X Plus	SRR32674906	SAMN47273867	38405563	25736566	0.073575
AR01C.0.2	AR01	Double Hot Springs	Black Rock Desert	BLR	41.050863	-119.02643	2020.08.14	2020	7.622592593	83.6	0.91	80_100	mat	Illumina NextSeq2000	SRR32625253	SAMN47273230	8874609	4466110	0.069055
AR01C.3.1	AR01	Double Hot Springs	Black Rock Desert	BLR	41.050847	-119.0264	2023.09.15	2023	6.8	81.3	1.044	80_100	mat	Illumina NovaSeq X Plus	SRR32674905	SAMN47273868	33735152	23496805	0.15425
AR01D.1.1	AR01	Double Hot Springs	Black Rock Desert	BLR	41.050828	-119.0263	2021.09.14	2021	8.41	37.9	1.137	30_50	mat	Illumina NextSeq2000	SRR32625343	SAMN47273354	2477830	1215459	0.06896
AR01D.1.2	AR01	Double Hot Springs	Black Rock Desert	BLR	41.050833	-119.02635	2021.09.14	2021	7.5	62.5	0.946	50_70	mat	Illumina NextSeq2000	SRR32625342	SAMN47273355	1615245	821894	0.111645
AR01D.3.1	AR01	Double Hot Springs	Black Rock Desert	BLR	41.05086	-119.02632	2023.09.15	2023	6.79	80.5	1.049	80_100	mat	Illumina NovaSeq X Plus	SRR32674872	SAMN47273869	30854689	20811238	0.199085
AR08.1.1	AR08	Casey hot springs	Black Rock Desert	BLR	41.001362	-119.01286	2021.09.14	2021	8.01	28.9		below_30	mat	Illumina NextSeq2000	SRR32625341	SAMN47273356	4137383	2044576	0.14644
AR08.1.2	AR08	Casey hot springs	Black Rock Desert	BLR	41.001411	-119.01289	2021.09.14	2021	7.77	65.7		50_70	mat	Illumina NextSeq2000	SRR32625340	SAMN47273357	1870334	940299	0.0619
AR08.1.3	AR08	Casey hot springs	Black Rock Desert	BLR	41.001385	-119.01292	2021.09.14	2021		28.9		below_30	mat	Illumina NextSeq2000	SRR32625339	SAMN47273358	10065126	5089702	0.07316
AR08.1.4	AR08	Casey hot springs	Black Rock Desert	BLR	41.001381	-119.01287	2021.09.14	2021	6.61	29		below_30	mat	Illumina NextSeq2000	SRR32625338	SAMN47273359	16758596	8281985	0.190795
AR10.2.1	AR10	Black Rock Hot Springs	Black Rock Desert	BLR	40.973749	-119.00814	2022.08.03	2022	7.55	49.6	2.35	30_50	mat	Illumina NovaSeq X Plus	SRR32674757	SAMN47273733	60164255	48006507	0.2739
AR10.2.2	AR10	Black Rock Hot Springs	Black Rock Desert	BLR	40.97374	-119.00817	2022.08.03	2022	7.55	49.6	2.35	30_50	mat	Illumina NovaSeq X Plus	SRR32674756	SAMN47273734	30013450	22239074	0.24559
AR10.2.3	AR10	Black Rock Hot Springs	Black Rock Desert	BLR	40.973895	-119.00812	2022.08.03	2022	7.7	47.7	2.32	30_50	mat	Illumina NovaSeq X Plus	SRR32674755	SAMN47273735	30899950	22152738	0.26303
AR10.2.4	AR10	Black Rock Hot Springs	Black Rock Desert	BLR	40.97374	-119.00828	2022.08.03	2022	7.79	46.3	2.34	30_50	mat	Illumina NovaSeq X Plus	SRR32674753	SAMN47273736	34012866	23903476	0.212845
AR10.2.5	AR10	Black Rock Hot Springs	Black Rock Desert	BLR	40.973721	-119.0083	2022.08.03	2022	4.74	46.6	2.34	30_50	mat	Illumina NovaSeq X Plus	SRR32674752	SAMN47273737	37377136	26820015	0.157955
AR10.3.1	AR10	Black Rock Hot Springs	Black Rock Desert	BLR	40.973806	-119.00813	2023.09.15	2023	6.77	45.3	2.23	30_50	mat	Illumina NovaSeq X Plus	SRR32674871	SAMN47273870	37321704	26331284	0.15236
AR10.3.2	AR10	Black Rock Hot Springs	Black Rock Desert	BLR	40.973816	-119.00805	2023.09.15	2023	6.77	45.6	2.25	30_50	mat	Illumina NovaSeq X Plus	SRR32674870	SAMN47273871	39635377	28564365	0.154315
AR10.3.3	AR10	Black Rock Hot Springs	Black Rock Desert	BLR	40.973904	-119.00809	2023.09.15	2023	6.77	44.3	2.25	30_50	mat	Illumina NovaSeq X Plus	SRR32674869	SAMN47273872	32435874	23243285	0.14907
AR10.3.4	AR10	Black Rock Hot Springs	Black Rock Desert	BLR	40.973758	-119.00835	2023.09.15	2023	6.77	42.8	2.25	30_50	mat	Illumina NovaSeq X Plus	SRR32674868	SAMN47273873	32496778	20832584	0.228215
AR10.3.5	AR10	Black Rock Hot Springs	Black Rock Desert	BLR	40.973734	-119.00828	2023.09.15	2023	6.77	42.2	2.26	30_50	mat	Illumina NovaSeq X Plus	SRR32674866	SAMN47273874	30923574	21304342	0.219855
AR11.2.1	AR11	Trego hot springs	Black Rock Desert	BLR	40.771774	-119.11693	2022.08.03	2022	9.05	40.7	2.57	30_50	sediment	Illumina NovaSeq X Plus	SRR32674751	SAMN47273738	13007686	9299019	0.043165
AR11.2.2	AR11	Trego hot springs	Black Rock Desert	BLR	40.77177	-119.11683	2022.08.03	2022	8.17	68.1	2.64	50_70	mat	Illumina NovaSeq X Plus	SRR32674750	SAMN47273739	31688451	23117753	0.146655
AR11.2.3	AR11	Trego hot springs	Black Rock Desert	BLR	40.771754	-119.1168	2022.08.03	2022	8.33	58	2.53	50_70	mat	Illumina NovaSeq X Plus	SRR32674749	SAMN47273740	30222717	20140342	0.09989
AR11.2.4	AR11	Trego hot springs	Black Rock Desert	BLR	40.771285	-119.11614	2022.08.03	2022	8.33	40	2.44	30_50	foam	Illumina NovaSeq X Plus	SRR32674748	SAMN47273741	30888443	21411889	0.027665
AW01.3.1	AW01		Buffalo Valley/Winnemucca	GBD	40.367218	-117.32502	2023.08.06	2023	6.66	55.6	1.601	50_70	mat	Illumina NovaSeq X Plus	SRR32674865	SAMN47273875	35778846	25352989	0.194935
AW01.3.2	AW01		Buffalo Valley/Winnemucca	GBD	40.367228	-117.32491	2023.08.06	2023	6.68	50.4	1.582	50_70	mat	Illumina NovaSeq X Plus	SRR32674864	SAMN47273876	29697912	21291990	0.16829
AW03.3.1	AW03		Buffalo Valley/Winnemucca	GBD	40.367968	-117.32559	2023.08.06	2023	7.13	28.8	1.719	below_30	mat	Illumina NovaSeq X Plus	SRR32674863	SAMN47273877	39232458	29363059	0.00816
AY01.0.3	AY01		Yellowstone National Park	YEL	44.517231	-110.82288	2020.09.22	2020	8.107644444	68.3		50_70	mat	Illumina NextSeq2000	SRR32625252	SAMN47273234	5763920	2921271	0.06328
AY01.0.4	AY01		Yellowstone National Park	YEL	44.517192	-110.82283	2020.09.22	2020	8.365422222	53	1.63	50_70	mat	Illumina NextSeq2000	SRR32625251	SAMN47273235	6406818	3192783	0.089355
AY01.0.5	AY01		Yellowstone National Park	YEL	44.517193	-110.82293	2020.09.22	2020	8.128266667	70.4	1.6	70_80	mat	Illumina NextSeq2000	SRR32625250	SAMN47273236	13662771	6989454	0.07196
AY01.0.6	AY01		Yellowstone National Park	YEL	44.517192	-110.82267	2020.09.22	2020	8.9944	27.5	1	below_30	mat	Illumina NextSeq2000	SRR32625249	SAMN47273237	6592952	3219813	0.032315
AY01.0.7	AY01		Yellowstone National Park	YEL	44.51721	-110.82265	2020.09.22	2020	9.303733333	30.5		30_50	mat	Illumina NextSeq2000	SRR32625248	SAMN47273238	10373559	5225009	0.07161
AY01.0.8	AY01		Yellowstone National Park	YEL	44.517251	-110.82276	2020.09.22	2020	9.221244444	64.4		50_70	mat	Illumina NextSeq2000	SRR32625247	SAMN47273239	2173712	966953	0.103675
AY01.1.1	AY01		Yellowstone National Park	YEL	44.517184	-110.8227	2021.08.31	2021		28.2		below_30	mat	Illumina NextSeq2000	SRR32625336	SAMN47273360	2464071	1265099	0.04864
AY01.1.3	AY01		Yellowstone National Park	YEL	44.517272	-110.82273	2021.08.31	2021	8.08	69		50_70	mat	Illumina NextSeq2000	SRR32625335	SAMN47273362	18359236	9060048	0.089485
AY01.1.4	AY01		Yellowstone National Park	YEL	44.517178	-110.82299	2021.08.31	2021	8.22	62.1		50_70	mat	Illumina NextSeq2000	SRR32625334	SAMN47273363	1080196	526051	0.09921
AY01.1.5	AY01		Yellowstone National Park	YEL	44.517255	-110.82278	2021.08.31	2021	8.53	26.6		below_30	mat	Illumina NextSeq2000	SRR32625333	SAMN47273364	8819863	4557626	0.0192
AY01.1.6	AY01		Yellowstone National Park	YEL	44.5172	-110.82275	2021.08.31	2021		27.6		below_30	mat	Illumina NextSeq2000	SRR32625332	SAMN47273365	1998098	1037308	0.09555
AY01.1.7	AY01		Yellowstone National Park	YEL	44.517169	-110.82324	2021.08.31	2021	8.11	64	1.968	50_70	filaments	Illumina NextSeq2000	SRR32625331	SAMN47273366	1297075	643897	0.09045
