Resource	RepositoryID	Release	SourceURL	RawBytes	RawMD5	RawSHA256	DerivedFile	DerivedBytes	DerivedSHA256	Rows	Samples
Human species	EH7091	curatedMetagenomicData 2021-10-14	https://mghp.osn.xsede.org/bir190004-bucket01/ExperimentHub/curatedMetagenomicData/2021-10-14/AsnicarF_2017/2021-10-14.AsnicarF_2017.relative_abundance.rda	199904	b71b19eb67efbf1e86fc964c993279fe	2952774730bff2af9e13c9c40058320aed524dc2dc7408b44dc6e697c06564b2	species-relative-abundance.tsv.gz	10856	312e55c506279ef5e5caa0e20f9bb5f14be06bf5b22feabf682e9314f29951dc	298	24
Human gene families	EH7086	curatedMetagenomicData 2021-10-14	https://mghp.osn.xsede.org/bir190004-bucket01/ExperimentHub/curatedMetagenomicData/2021-10-14/AsnicarF_2017/2021-10-14.AsnicarF_2017.gene_families.rda	55739524	49caa4e88cbd51e7f5700cbcf4590e55	f171e511667a5d265c529d731b81407af22da3be27db2ba8587cbc6bc159257a	gene-family-prevalence10.tsv.gz	11128401	cfaeef071a58029f643288ac1aede9bcaa0de55c7087f28edc91702c7ed22dea	415581	24
Hot-spring MAG abundance	61153444	Figshare 30284068 v2	https://ndownloader.figshare.com/files/61153444	2017689	0c1762f31a5c4473dec78571a7b74287	d3188968399136dfe595bacf9b2fda01568284a03945550f7ae0153eb4a7b131	mag-relative-abundance.tsv.gz	306432	8447575babb47ed660c40f8b87a4fb9bebaf0f4b870c02dd573a4f496b74e58b	780	500
Hot-spring metadata	61153429	Figshare 30284068 v2	https://ndownloader.figshare.com/files/61153429	133160	402095b04e2c5518cbec462f41528d4f	8dc11ab08a4c53e800038f3ab87958b085267417aa7ced06ce0b78a9985f1c37	hot-spring-sample-metadata.tsv	91461	999fd1f521712651d903163b4d238adbe2ad256cbd2c74a5174b62e2a608cc23	500	500
Hot-spring recruitment	61153471	Figshare 30284068 v2	https://ndownloader.figshare.com/files/61153471	9059	51288407e9927f23a25b210edcda7b47	832f801eab0f6fbfcc859ad53787751856cf3dd9dc3343c179ae315bb37c40a8	mag-recruitment.tsv	8806	2f5858c591e0e2ca5c8a026edfa97c8de43d94504af0f9426c83db0408a89c3a	500	500
