FeatureSpace	Stage	PrevalenceThreshold	Features	Samples	NonzeroCells	ColumnSumMin	ColumnSumMedian	ColumnSumMax
Species	MetaPhlAn species percentages		298	24	996	94.65166	99.999995	100.00003
Gene family	Raw community plus stratified		2704846	24	6663019	1.06587166656	1.75712946822177	1.94585152875608
Gene family	Unstratified ordinary		1140842	24	2914909	0.06587133328	0.757128986159693	0.945851563288827
Gene family	Prevalence >= 0.10	0.1	415581	24	1963233	0.03683608198	0.590920889749659	0.898040911969885
Gene family	Prevalence >= 0.20	0.2	178928	24	1162139	0.0317971872	0.419608838031417	0.793245573093476
Gene family	Prevalence >= 0.50	0.5	1896	24	24181	0.00066285	0.019947992867265	0.1063257237374
