sample_id	total_hit_rate
AM01.1.3	0.119035
AM01.1.4	0.254005
AM01.1.5	0.11664
AM01.2.10	0.187005
AM01.2.11	0.191545
AM01.2.12	0.21727
AM01.2.13	0.22051
AM01.2.1	0.16793
AM01.2.2	0.180065
AM01.2.3	0.176035
AM01.2.4	0.21081
AM01.2.5	0.12741
AM01.2.6	0.122195
AM01.2.7	0.28846
AM01.2.8	0.13575
AM01.2.9	0.178815
AM01.3.1	0.124935
AM01.3.2	0.07525
AM01.3.3	0.108475
AM01.3.4	0.177155
AM01.3.5	0.13074
AM01.3.6	0.13758
AM01.3.7	0.16444
AM01.3.8	0.13083
AM02.0.1	0.100735
AM02.0.2	0.10286
AM02.0.3	0.106935
AM02.0.4	0.18999
AM02.0.5	0.156005
AM02.0.6	0.17544
AM02.0.7	0.13037
AM02.0.8	0.12346
AM02.1.1	0.112295
AM02.1.2	0.193875
AM02.1.3	0.27363
AM02.1.4	0.179355
AM02.1.5	0.197515
AM02.2.1	0.15408
AM02.2.2	0.123395
AM02.2.3	0.151815
AM02.2.4	0.17921
AM02.2.5	0.210205
AM02.2.6	0.166115
AM02.2.7	0.21802
AM02.2.8	0.17389
AM02.3.1	0.148935
AM02.3.2	0.08295
AM02.3.3	0.13817
AM02.3.4	0.154195
AM02.3.5	0.13214
AM02.3.6	0.18178
AM02.3.7	0.133875
AM02.3.8	0.171185
AR01A.0.1	0.05094
AR01A.3.1	0.054115
AR01B.0.1	0.10497
AR01B.1.1	0.15597
AR01B.2.1	0.14713
AR01B.3.1	0.073575
AR01C.0.2	0.069055
AR01C.3.1	0.15425
AR01D.1.1	0.06896
AR01D.1.2	0.111645
AR01D.3.1	0.199085
AR08.1.1	0.14644
AR08.1.2	0.0619
AR08.1.3	0.07316
AR08.1.4	0.190795
AR10.2.1	0.2739
AR10.2.2	0.24559
AR10.2.3	0.26303
AR10.2.4	0.212845
AR10.2.5	0.157955
AR10.3.1	0.15236
AR10.3.2	0.154315
AR10.3.3	0.14907
AR10.3.4	0.228215
AR10.3.5	0.219855
AR11.2.1	0.043165
AR11.2.2	0.146655
AR11.2.3	0.09989
AR11.2.4	0.027665
AW01.3.1	0.194935
AW01.3.2	0.16829
AW03.3.1	0.00816
AY01.0.3	0.06328
AY01.0.4	0.089355
AY01.0.5	0.07196
AY01.0.6	0.032315
AY01.0.7	0.07161
AY01.0.8	0.103675
AY01.1.1	0.04864
AY01.1.3	0.089485
AY01.1.4	0.09921
AY01.1.5	0.0192
AY01.1.6	0.09555
AY01.1.7	0.09045
AY01.2.2	0.063335
AY01.2.3	0.108525
AY01.2.4	0.09956
