contigIdx	contigIdxMate	AvgCoverage
133	133	6.32382
133	15253	0.0295482
133	16868	0.0449778
134	134	2.61725
135	135	2.68053
135	3387	0.0770416
136	83	0.0767519
136	136	23.6695
136	494	0.139899
136	517	0.102421
136	1213	0.14084
136	2786	0.152477
136	3313	0.102678
136	3386	0.0641739
136	3440	0.0124069
136	6156	0.154017
136	8053	0.0128348
136	8988	0.0770086
136	9158	0.08933
136	9411	0.0128348
136	9728	0.0898434
136	13052	0.114828
136	13182	0.0128348
136	13611	0.127834
136	13691	0.0897579
136	13850	1.11218
136	14165	0.153846
136	14432	0.140156
136	14853	0.166253
136	15001	0.127663
136	16016	0.115171
137	137	6.00753
137	6614	0.0664599
138	138	2.50456
139	139	4.20704
139	5164	0.422535
140	140	4.06604
140	445	0.071996
141	141	2.87116
142	142	3.42298
142	12005	0.756596
142	18136	0.254468
143	143	2.02078
144	144	2.49605
145	145	4.24453
145	14371	0.131179
145	15993	0.131709
146	146	2.78751
147	147	3.61079
147	6281	0.131637
148	148	2.99563
148	3025	0.131119
148	10569	0.131119
149	149	3.23379
149	10935	0.24634
150	150	2.18887
151	151	2.85886
152	152	1.78879
153	153	3.83851
153	7253	0.172414
153	10350	0.343103
154	154	8.97397
154	1133	0.198304
154	16089	0.13136
155	155	6.16821
155	6184	0.0991722
155	13876	0.0745033
155	15419	0.0495033
156	156	2.84997
156	12580	0.370798
157	130	1.03058
157	157	11.1223
157	458	0.416956
157	2330	0.0917304
157	6429	0.405837
157	8110	0.416956
158	158	3.41884
159	159	4.16846
159	15547	0.371594
160	160	7.43246
160	1530	3.35929
160	5258	1.67355
160	18348	0.267355
161	161	3.50526
161	12696	0.123754
161	16087	0.124308
162	162	4.29709
162	4162	0.0886493
162	11191	0.0449236
163	163	3.12455
164	164	6.47444
164	6537	0.0208943
164	11746	0.0625435
164	12834	0.0208943
165	165	11.1389
165	261	0.00325839
165	367	0.00280222
165	2331	0.00325839
165	3271	0.00321495
165	5535	0.00325839
165	6536	0.00940589
165	7809	0.00957967
165	9288	0.00640817
165	9913	0.00325839
165	11924	0.00323667
165	14972	0.00321495
165	17018	0.00960139
165	17502	0.00306289
166	166	23.215
166	1353	2.4924
166	6445	0.104103
166	6459	2.93389
166	17179	0.113982
167	167	2.87608
168	168	5.1552
168	3618	0.56907
169	169	2.35874
170	170	3.73298
171	171	3.53578
172	172	9.11855
172	4706	0.161955
172	5324	0.105964
172	14349	0.0538027
173	173	2.29321
173	10998	0.373173
174	174	3.21203
175	175	3.09158
175	13509	0.355611
176	176	3.05793
177	177	2.63553
178	178	3.02479
178	4876	0.326822
179	179	5.2166
179	3825	0.0391441
179	6576	0.192589
180	180	3.75903
180	6497	0.0773994
180	17910	0.23065
181	181	3.19202
182	182	2.14964
182	1648	0.403226
183	183	1.57012
183	4513	0.134739
183	6575	0.137489
184	184	3.93329
185	185	5.24588
185	1232	0.0409566
185	8170	0.0412314
186	186	2.12329
186	18111	0.240935
187	187	3.03017
188	188	4.4028
188	15580	0.155521
189	189	5.60903
189	3932	0.0323281
189	17621	0.06509
190	190	1.61513
190	11885	0.123026
191	191	2.14761
192	192	4.1411
192	14146	0.191909
193	193	4.67605
193	231	0.0514756
193	4988	0.101235
193	5735	0.204187
194	194	3.82905
194	10810	0.525088
195	195	2.80085
195	5756	0.264724
196	196	4.09804
196	9823	0.259695
196	12551	0.130719
197	197	2.974
198	198	4.15436
198	594	0.197937
199	199	2.84767
199	298	0.627645
199	8249	0.105783
200	200	2.76589
201	201	4.71811
201	2241	0.0493229
202	202	5.82714
202	16241	0.254213
203	203	2.7476
203	3512	0.0899281
204	204	6.19153
204	1346	0.0601018
204	9792	0.0119557
204	11494	0.0121173
204	14814	0.0242346
205	205	3.2171
205	2976	0.0634786
205	9293	0.120186
205	12484	0.190436
206	206	2.84219
207	207	2.94537
208	208	7.61313
208	1607	0.0611702
208	8702	0.153437
209	209	2.21244
210	210	3.11569
211	211	2.91393
212	212	18.4254
212	583	0.0447167
212	3413	0.137825
212	4829	0.1366
212	6918	1.36508
212	13025	1.09495
213	213	2.71321
213	15130	0.452075
214	214	3.03684
215	215	3.31481
216	216	3.0852
216	8850	0.157082
217	217	6.36137
217	16236	0.00688649
218	218	8.06238
218	1710	0.201995
218	4002	1.22839
218	8418	0.115565
218	11492	0.0572937
218	12282	0.172077
218	14176	0.230935
218	15913	0.0576848
219	219	6.16807
219	5660	0.0971503
219	8101	0.0971503
220	220	2.76476
220	13112	0.552583
221	221	2.32121
221	10983	0.232198
222	222	5.5705
222	606	0.111335
222	14814	0.0751445
223	223	2.56257
224	224	3.51772
225	225	5.6175
225	15090	0.0633609
225	15490	0.125662
226	226	2.04235
227	227	26.9364
227	458	0.0244643
227	488	0.855357
227	15540	0.0267857
228	228	4.44136
228	5559	0.300486
229	229	2.02451
230	230	10.4497
230	13149	0.253503
230	18289	0.0632696
231	193	0.00185012
231	231	36.7636
231	363	0.0019272
231	610	0.00191436
231	649	0.0019272
231	696	0.00185012
231	1123	0.00185012
231	1752	0.0668354
231	2034	0.00191436
231	2038	0.0019272
231	2109	0.0019272
231	2509	0.00191436
231	2870	0.0019272
231	3084	0.00186296
231	3348	0.00370023
231	3721	0.00190151
231	3813	0.0019272
231	3901	0.0019272
231	4061	0.0019272
231	4519	0.00167024
231	4940	0.0019272
231	5155	0.0019272
231	5514	0.00191436
231	6956	0.0019272
231	7030	0.0019272
231	7120	0.00188866
231	7127	0.00191436
231	7849	0.0019272
231	7989	0.0019272
231	8110	0.0019272
231	8124	0.00186296
231	8143	0.0108951
231	8212	0.00187581
231	8349	0.00188866
231	9447	0.0019272
231	11334	0.00170879
231	12067	0.00173448
231	12285	0.00190151
231	12846	0.0019272
231	13182	0.00190151
231	13324	0.0019272
231	13719	0.00191436
231	14552	0.0019272
231	14789	0.00188866
231	16077	0.0019272
231	16166	0.00191436
231	17076	0.00186296
231	17552	0.0019272
231	17564	0.0019272
231	18296	0.00384156
232	232	2.67342
232	4570	0.484603
233	233	4.38957
233	2272	0.141232
233	2842	0.138389
233	3859	0.704265
233	17908	0.422749
234	234	2.38596
235	235	4.19728
235	10021	0.131521
235	14481	0.061815
236	236	2.40606
237	237	3.00484
238	238	3.60476
238	15495	0.195854
239	239	49.2387
239	610	0.00438502
239	1555	0.00463206
239	1895	0.00463206
239	2264	0.00463206
239	3246	0.0369021
