LKTFeature	Gram	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species	LKT
LKT__s__Bacteroides_vulgatus	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_vulgatus	LKT__s__Bacteroides_vulgatus
LKT__s__Bacteroides_uniformis	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_uniformis	LKT__s__Bacteroides_uniformis
LKT__s__Bacteroides_stercoris	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_stercoris	LKT__s__Bacteroides_stercoris
LKT__s__Bacteroides_Unclassified	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_Unclassified_1_1_30	LKT__s__Bacteroides_Unclassified
LKT__s__Faecalibacterium_prausnitzii	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium_prausnitzii	LKT__s__Faecalibacterium_prausnitzii
LKT__s__Bacteroides_ovatus	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_ovatus	LKT__s__Bacteroides_ovatus
LKT__g__Bacteroides	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Unclassified	LKT__g__Bacteroides
LKT__s__Bacteroides_thetaiotaomicron	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_thetaiotaomicron	LKT__s__Bacteroides_thetaiotaomicron
LKT__s__Prevotella_copri	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__Prevotella_copri	LKT__s__Prevotella_copri
LKT__s__Bacteroides_cellulosilyticus	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_cellulosilyticus	LKT__s__Bacteroides_cellulosilyticus
LKT__s__Parabacteroides_distasonis	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides_distasonis	LKT__s__Parabacteroides_distasonis
LKT__s__Akkermansia_muciniphila	negative	d__Bacteria	k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia_muciniphila	LKT__s__Akkermansia_muciniphila
LKT__s__Bacteroides_caccae	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_caccae	LKT__s__Bacteroides_caccae
LKT__Unclassified	N_A	d__Unclassified	k__Unclassified	p__Unclassified	c__Unclassified	o__Unclassified	f__Unclassified	g__Unclassified	s__Unclassified	LKT__Unclassified
LKT__s__Alistipes_putredinis	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes_putredinis	LKT__s__Alistipes_putredinis
LKT__s__Bacteroides_dorei	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_dorei	LKT__s__Bacteroides_dorei
LKT__s__Clostridium_Unclassified	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium_Unclassified_AT4	LKT__s__Clostridium_Unclassified
LKT__s__Bacteroides_fragilis	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_fragilis	LKT__s__Bacteroides_fragilis
LKT__s__Escherichia_coli	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia_coli	LKT__s__Escherichia_coli
LKT__s__Alistipes_finegoldii	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes_finegoldii	LKT__s__Alistipes_finegoldii
LKT__s__Cyclospora_cayetanensis	N_A	d__Eukaryota	k__Missing	p__Apicomplexa	c__Conoidasida	o__Eucoccidiorida	f__Eimeriidae	g__Cyclospora	s__Cyclospora_cayetanensis	LKT__s__Cyclospora_cayetanensis
LKT__s__Bacteroides_faecis	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_faecis	LKT__s__Bacteroides_faecis
LKT__s__Parabacteroides_merdae	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides_merdae	LKT__s__Parabacteroides_merdae
LKT__s__Ruminococcus_Unclassified	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus_Unclassified_AM41_10BH	LKT__s__Ruminococcus_Unclassified
LKT__s__Eubacterium_rectale	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Missing	s__Eubacterium_rectale	LKT__s__Eubacterium_rectale
LKT__s__Bacteroides_xylanisolvens	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_xylanisolvens	LKT__s__Bacteroides_xylanisolvens
LKT__o__Clostridiales	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Unclassified	g__Unclassified	s__Unclassified	LKT__o__Clostridiales
LKT__s__Klebsiella_pneumoniae	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella_pneumoniae	LKT__s__Klebsiella_pneumoniae
LKT__s__Bacteroides_massiliensis	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_massiliensis	LKT__s__Bacteroides_massiliensis
LKT__s__Ruminococcaceae_bacterium	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Missing	s__Ruminococcaceae_bacterium	LKT__s__Ruminococcaceae_bacterium
LKT__s__Eubacterium_siraeum	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Missing	s__Eubacterium_siraeum	LKT__s__Eubacterium_siraeum
LKT__s__Bacteroides_eggerthii	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_eggerthii	LKT__s__Bacteroides_eggerthii
LKT__s__Bacteroides_intestinalis	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_intestinalis	LKT__s__Bacteroides_intestinalis
LKT__s__Clostridiales_bacterium	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Missing	g__Missing	s__Clostridiales_bacterium	LKT__s__Clostridiales_bacterium
LKT__s__Alistipes_onderdonkii	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes_onderdonkii	LKT__s__Alistipes_onderdonkii
LKT__o__Bacteroidales	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Unclassified	g__Unclassified	s__Unclassified	LKT__o__Bacteroidales
LKT__k__Bacteria	N_A	d__Bacteria	k__Bacteria	p__Unclassified	c__Unclassified	o__Unclassified	f__Unclassified	g__Unclassified	s__Unclassified	LKT__k__Bacteria
LKT__s__Bacteroides_plebeius	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_plebeius	LKT__s__Bacteroides_plebeius
LKT__s__Alistipes_Unclassified	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes_Unclassified_AF48_12	LKT__s__Alistipes_Unclassified
LKT__s__Bacteroides_finegoldii	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_finegoldii	LKT__s__Bacteroides_finegoldii
LKT__s__CrAssphage_ZA	N_A	d__Viruses	k__Viruses	p__Missing	c__Missing	o__Caudovirales	f__Podoviridae	g__Missing	s__CrAssphage_ZA	LKT__s__CrAssphage_ZA
LKT__s__Flavonifractor_plautii	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Flavonifractor	s__Flavonifractor_plautii	LKT__s__Flavonifractor_plautii
LKT__s__Oscillibacter_Unclassified	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Oscillospiraceae	g__Oscillibacter	s__Oscillibacter_Unclassified_PEA192	LKT__s__Oscillibacter_Unclassified
LKT__s__Ruminococcus_flavefaciens	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus_flavefaciens	LKT__s__Ruminococcus_flavefaciens
LKT__s__Alistipes_shahii	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes_shahii	LKT__s__Alistipes_shahii
LKT__s__Lachnospiraceae_bacterium	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Missing	s__Lachnospiraceae_bacterium_M18_1	LKT__s__Lachnospiraceae_bacterium
LKT__s__Phascolarctobacterium_faecium	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	s__Phascolarctobacterium_faecium	LKT__s__Phascolarctobacterium_faecium
LKT__s__Acinetobacter_baumannii	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter_baumannii	LKT__s__Acinetobacter_baumannii
LKT__s__Prevotella_Unclassified	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Alloprevotella	s__Prevotella_Unclassified_oral_taxon_473	LKT__s__Prevotella_Unclassified
LKT__f__Lachnospiraceae	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Unclassified	s__Unclassified	LKT__f__Lachnospiraceae
LKT__s__Bacteroides_coprocola	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_coprocola	LKT__s__Bacteroides_coprocola
LKT__s__Odoribacter_splanchnicus	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Odoribacteraceae	g__Odoribacter	s__Odoribacter_splanchnicus	LKT__s__Odoribacter_splanchnicus
LKT__s__Gemmiger_formicilis	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger_formicilis	LKT__s__Gemmiger_formicilis
LKT__s__Parabacteroides_Unclassified	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides_Unclassified_OF01_14	LKT__s__Parabacteroides_Unclassified
LKT__s__Bacteroidaceae_bacterium	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Missing	s__Bacteroidaceae_bacterium	LKT__s__Bacteroidaceae_bacterium
LKT__g__Parabacteroides	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Unclassified	LKT__g__Parabacteroides
LKT__s__Bacteroides_salyersiae	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_salyersiae	LKT__s__Bacteroides_salyersiae
LKT__s__Blautia_Unclassified	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Blautia	s__Blautia_Unclassified_N6H1_15	LKT__s__Blautia_Unclassified
LKT__s__Alistipes_dispar	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes_dispar	LKT__s__Alistipes_dispar
LKT__s__Roseburia_faecis	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Roseburia	s__Roseburia_faecis	LKT__s__Roseburia_faecis
LKT__s__Enterocloster_clostridioformis	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Enterocloster	s__Enterocloster_clostridioformis	LKT__s__Enterocloster_clostridioformis
LKT__s__Paraprevotella_clara	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Paraprevotella	s__Paraprevotella_clara	LKT__s__Paraprevotella_clara
LKT__s__Alistipes_communis	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes_communis	LKT__s__Alistipes_communis
LKT__f__Ruminococcaceae	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Unclassified	s__Unclassified	LKT__f__Ruminococcaceae
LKT__p__Firmicutes	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Unclassified	o__Unclassified	f__Unclassified	g__Unclassified	s__Unclassified	LKT__p__Firmicutes
LKT__s__Clostridium_leptum	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Missing	s__Clostridium_leptum	LKT__s__Clostridium_leptum
LKT__s__Eubacterium_Unclassified	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	g__Eubacterium	s__Eubacterium_Unclassified_AM49_13BH	LKT__s__Eubacterium_Unclassified
LKT__s__Roseburia_inulinivorans	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Roseburia	s__Roseburia_inulinivorans	LKT__s__Roseburia_inulinivorans
LKT__s__Clostridiaceae_bacterium	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Missing	s__Clostridiaceae_bacterium	LKT__s__Clostridiaceae_bacterium
LKT__s__Roseburia_intestinalis	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Roseburia	s__Roseburia_intestinalis	LKT__s__Roseburia_intestinalis
LKT__g__Ruminococcus	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__Unclassified	LKT__g__Ruminococcus
LKT__s__Subdoligranulum_Unclassified	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Subdoligranulum	s__Subdoligranulum_Unclassified_AM16_9	LKT__s__Subdoligranulum_Unclassified
LKT__g__Clostridium	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Unclassified	LKT__g__Clostridium
LKT__s__Parabacteroides_goldsteinii	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides_goldsteinii	LKT__s__Parabacteroides_goldsteinii
LKT__s__Lachnospira_eligens	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira_eligens	LKT__s__Lachnospira_eligens
LKT__s__Lachnospira_pectinoschiza	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira_pectinoschiza	LKT__s__Lachnospira_pectinoschiza
LKT__s__Firmicutes_bacterium	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Missing	o__Missing	f__Missing	g__Missing	s__Firmicutes_bacterium_ASF500	LKT__s__Firmicutes_bacterium
LKT__s__Barnesiella_intestinihominis	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__Barnesiella	s__Barnesiella_intestinihominis	LKT__s__Barnesiella_intestinihominis
LKT__s__Odoribacter_laneus	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Odoribacteraceae	g__Odoribacter	s__Odoribacter_laneus	LKT__s__Odoribacter_laneus
LKT__s__Roseburia_hominis	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Roseburia	s__Roseburia_hominis	LKT__s__Roseburia_hominis
LKT__s__Butyrivibrio_crossotus	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Butyrivibrio	s__Butyrivibrio_crossotus	LKT__s__Butyrivibrio_crossotus
LKT__s__Ruthenibacterium_lactatiformans	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruthenibacterium	s__Ruthenibacterium_lactatiformans	LKT__s__Ruthenibacterium_lactatiformans
LKT__s__Blautia_obeum	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Blautia	s__Blautia_obeum	LKT__s__Blautia_obeum
LKT__s__Hungatella_hathewayi	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Hungatella	s__Hungatella_hathewayi	LKT__s__Hungatella_hathewayi
LKT__s__Holdemanella_biformis	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Holdemanella	s__Holdemanella_biformis	LKT__s__Holdemanella_biformis
LKT__s__Bilophila_wadsworthia	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	s__Bilophila_wadsworthia	LKT__s__Bilophila_wadsworthia
LKT__s__Eubacteriaceae_bacterium	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	g__Missing	s__Eubacteriaceae_bacterium	LKT__s__Eubacteriaceae_bacterium
LKT__s__Butyricicoccus_Unclassified	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Butyricicoccus	s__Butyricicoccus_Unclassified_AM29_23AC	LKT__s__Butyricicoccus_Unclassified
LKT__s__Prevotella_lascolaii	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__Prevotella_lascolaii	LKT__s__Prevotella_lascolaii
LKT__s__Blautia_wexlerae	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Blautia	s__Blautia_wexlerae	LKT__s__Blautia_wexlerae
LKT__s__Enterocloster_bolteae	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Enterocloster	s__Enterocloster_bolteae	LKT__s__Enterocloster_bolteae
LKT__f__Clostridiaceae	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Unclassified	s__Unclassified	LKT__f__Clostridiaceae
LKT__s__Ruminococcus_gnavus	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Blautia	s__Ruminococcus_gnavus	LKT__s__Ruminococcus_gnavus
LKT__s__Prevotella_stercorea	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__Prevotella_stercorea	LKT__s__Prevotella_stercorea
LKT__s__Bacteroides_sartorii	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_sartorii	LKT__s__Bacteroides_sartorii
LKT__s__Parabacteroides_johnsonii	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides_johnsonii	LKT__s__Parabacteroides_johnsonii
LKT__s__Faecalibacterium_Unclassified	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium_Unclassified_OM04_11BH	LKT__s__Faecalibacterium_Unclassified
LKT__s__Collinsella_aerofaciens	positive	d__Bacteria	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella_aerofaciens	LKT__s__Collinsella_aerofaciens
LKT__s__Parasutterella_excrementihominis	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Sutterellaceae	g__Parasutterella	s__Parasutterella_excrementihominis	LKT__s__Parasutterella_excrementihominis
LKT__s__Dorea_longicatena	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Dorea	s__Dorea_longicatena	LKT__s__Dorea_longicatena
LKT__s__Clostridium_phoceensis	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium_phoceensis	LKT__s__Clostridium_phoceensis
LKT__g__Alistipes	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Unclassified	LKT__g__Alistipes
LKT__s__Anaerobutyricum_hallii	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Anaerobutyricum	s__Anaerobutyricum_hallii	LKT__s__Anaerobutyricum_hallii
LKT__s__Sutterella_wadsworthensis	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Sutterellaceae	g__Sutterella	s__Sutterella_wadsworthensis	LKT__s__Sutterella_wadsworthensis
LKT__g__Oscillibacter	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Oscillospiraceae	g__Oscillibacter	s__Unclassified	LKT__g__Oscillibacter
LKT__s__Roseburia_Unclassified	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Roseburia	s__Roseburia_Unclassified_AF42_8	LKT__s__Roseburia_Unclassified
LKT__s__Anaerotruncus_colihominis	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Anaerotruncus	s__Anaerotruncus_colihominis	LKT__s__Anaerotruncus_colihominis
LKT__s__Bacteroides_nordii	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_nordii	LKT__s__Bacteroides_nordii
LKT__s__Intestinimonas_butyriciproducens	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Missing	g__Intestinimonas	s__Intestinimonas_butyriciproducens	LKT__s__Intestinimonas_butyriciproducens
LKT__s__Sutterella_Unclassified	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Sutterellaceae	g__Sutterella	s__Sutterella_Unclassified_KLE1602	LKT__s__Sutterella_Unclassified
LKT__s__Anaerostipes_hadrus	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Anaerostipes	s__Anaerostipes_hadrus	LKT__s__Anaerostipes_hadrus
