LKTFeature	Gram	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species	LKT
LKT__s__Klebsiella_variicola	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella_variicola	LKT__s__Klebsiella_variicola
LKT__g__Klebsiella	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Unclassified	LKT__g__Klebsiella
LKT__s__Intestinimonas_massiliensis	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Missing	g__Intestinimonas	s__Intestinimonas_massiliensis	LKT__s__Intestinimonas_massiliensis
LKT__s__Intestinimonas_timonensis	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Missing	g__Intestinimonas	s__Intestinimonas_timonensis	LKT__s__Intestinimonas_timonensis
LKT__s__Oscillibacter_ruminantium	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Oscillospiraceae	g__Oscillibacter	s__Oscillibacter_ruminantium	LKT__s__Oscillibacter_ruminantium
LKT__s__Akkermansia_Unclassified	negative	d__Bacteria	k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia_Unclassified_KLE1798	LKT__s__Akkermansia_Unclassified
LKT__s__Coprococcus_eutactus	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Coprococcus	s__Coprococcus_eutactus	LKT__s__Coprococcus_eutactus
LKT__f__Eubacteriaceae	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	g__Unclassified	s__Unclassified	LKT__f__Eubacteriaceae
LKT__s__Bifidobacterium_longum	positive	d__Bacteria	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium_longum	LKT__s__Bifidobacterium_longum
LKT__s__Methanobrevibacter_smithii	undetermined	d__Archaea	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter	s__Methanobrevibacter_smithii	LKT__s__Methanobrevibacter_smithii
LKT__s__Bifidobacterium_adolescentis	positive	d__Bacteria	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium_adolescentis	LKT__s__Bifidobacterium_adolescentis
LKT__s__Pseudoflavonifractor_Unclassified	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Pseudoflavonifractor	s__Pseudoflavonifractor_Unclassified_Marseille_P3106	LKT__s__Pseudoflavonifractor_Unclassified
LKT__s__Anaerotruncus_massiliensis	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Anaerotruncus	s__Anaerotruncus_massiliensis	LKT__s__Anaerotruncus_massiliensis
LKT__f__Sutterellaceae	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Sutterellaceae	g__Unclassified	s__Unclassified	LKT__f__Sutterellaceae
LKT__s__Anaerotignum_lactatifermentans	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Anaerotignum	s__Anaerotignum_lactatifermentans	LKT__s__Anaerotignum_lactatifermentans
LKT__s__Ruminococcus_bromii	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus_bromii	LKT__s__Ruminococcus_bromii
LKT__p__Proteobacteria	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Unclassified	o__Unclassified	f__Unclassified	g__Unclassified	s__Unclassified	LKT__p__Proteobacteria
LKT__s__Burkholderiales_bacterium	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Missing	g__Missing	s__Burkholderiales_bacterium	LKT__s__Burkholderiales_bacterium
LKT__s__Erysipelatoclostridium_ramosum	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Erysipelatoclostridium	s__Erysipelatoclostridium_ramosum	LKT__s__Erysipelatoclostridium_ramosum
LKT__s__Subdoligranulum_variabile	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Subdoligranulum	s__Subdoligranulum_variabile	LKT__s__Subdoligranulum_variabile
