StageOrder	Stage	Samples	Events
1	Public baseline WGS profiles	167	61
2	Complete positive PFS time and event indicator	110	61
3	Paper-aligned clinical covariates complete	110	61
4	Sequencing-quality sensitivity subset	109	60
