EventTimeDays	TransformedTime	ScaledSchoenfeld
5	0	-0.157807119258027
19	0.00909090909090904	-0.0875532101107686
26	0.0181818181818181	0.148644066636285
28	0.0272727272727272	0.0557941432992827
37	0.0363636363636363	-0.464393060625592
38	0.0454545454545453	-0.0729669858177369
39	0.0545454545454543	0.146682210588111
40	0.0636363636363634	0.0423251312240725
41	0.0727272727272724	0.180993277265432
42	0.0818181818181815	-0.102324531022047
42	0.0818181818181815	-0.515231195601389
43	0.0999999999999996	-0.369363587759286
45	0.109090909090909	0.189038915782828
46	0.118181818181818	0.22376285886661
55	0.127272727272727	0.0421555390492438
55	0.127272727272727	-0.152758316933957
56	0.145454545454545	0.109323692406246
56	0.145454545454545	0.164519001441764
56	0.145454545454545	-0.840775160185203
57	0.172727272727272	-0.00479883728763729
62	0.181818181818181	0.19070309250767
63	0.19090909090909	-0.01858683351804
63	0.19090909090909	0.152713242229413
69	0.209090909090909	0.171769775692733
70	0.218181818181818	-0.601627416877846
75	0.227272727272727	-0.0583314291622971
79	0.236363636363636	0.0164783328320245
83	0.245454545454545	0.0584291636886654
83	0.245454545454545	0.222008062874623
86	0.263636363636363	0.0644400483948752
89	0.272727272727272	-0.571849221739012
95	0.281818181818181	0.0453738985314458
97	0.29090909090909	0.297242456001804
102	0.299999999999999	0.0150306201311204
107	0.309090909090908	-0.148398314302172
114	0.318181818181818	-0.58794223792937
124	0.327272727272727	0.0174493574248578
139	0.336363636363636	0.18227657200277
149	0.345454545454545	0.211630547477215
169	0.354545454545454	0.270098039195721
189	0.363636363636363	-0.880521959447181
190	0.372727272727272	0.256897163957642
209	0.381818181818181	-0.0453002241205148
210	0.39090909090909	-0.463996570751456
256	0.399999999999999	0.108239781172497
266	0.409090909090908	-0.0477917131663099
272	0.418323863636363	-0.0796650736373235
294	0.427556818181817	0.021333226040675
337	0.436789772727272	-0.0631391568340278
342	0.446176609848484	-0.054195313875823
356	0.455563446969696	-0.00831234845807936
385	0.464950284090908	-0.00852618781015863
386	0.474858612163299	0.149552172193118
429	0.48476694023569	-0.122844801449767
487	0.49467526830808	-0.790527015871686
504	0.504781762941919	-0.0214326005586085
546	0.514888257575757	-0.778060747885131
615	0.524994752209595	0.143533396202397
627	0.537832731879606	0.101741550638149
651	0.551037510968761	0.0927063919441491
991	0.564642434878798	-0.207987594452973
