Model	N	Events	Concordance	LogLikelihood	AIC
Unadjusted	110	61	0.596199017723681	-260.107462335755	522.21492467151
Clinical only	110	61	0.669549434123425	-252.472678397575	512.94535679515
Adjusted primary	110	61	0.695921417894512	-251.186402805842	512.372805611683
Sequencing-QC sensitivity	109	60	0.69938784433756	-246.452138410055	502.90427682011
Anti-PD1 sensitivity	89	53	0.691512683996242	-205.479599737198	420.959199474395
