SourceVariable	AnalysisVariable	PublicRows	PublicNonMissing	SurvivalRows	SurvivalNonMissing
pfs_d	PFS_days	167	110	110	110
pfsevent	Event	167	110	110	110
BMI	BMI	167	167	110	110
primary_cat	PrimarySubtype	167	167	110	110
adv_substage	AdvancedSubstage	167	167	110	110
LDH	LDH	167	165	110	110
GbNAHS	GbNonHuman	167	167	110	110
PctAss	PercentAssembled	167	167	110	110
