Model	HorizonDays	FalsePositiveRate	TruePositiveRate	AUC
Clinical	365	0	0	0.629307099758868
Clinical	365	0.0178571428571429	0	0.629307099758868
Clinical	365	0.0357142857142857	0	0.629307099758868
Clinical	365	0.0357142857142857	0.0195524325975712	0.629307099758868
Clinical	365	0.0357142857142857	0.0391048651951424	0.629307099758868
Clinical	365	0.0357142857142857	0.0586572977927137	0.629307099758868
Clinical	365	0.0535714285714286	0.0586572977927137	0.629307099758868
Clinical	365	0.0714285714285714	0.0586572977927137	0.629307099758868
Clinical	365	0.0714285714285714	0.0782097303902849	0.629307099758868
Clinical	365	0.0714285714285714	0.0977621629878561	0.629307099758868
Clinical	365	0.0892857142857143	0.0977621629878561	0.629307099758868
Clinical	365	0.0892857142857143	0.117314595585427	0.629307099758868
Clinical	365	0.0892857142857143	0.136867028182999	0.629307099758868
Clinical	365	0.107142857142857	0.136867028182999	0.629307099758868
Clinical	365	0.125	0.136867028182999	0.629307099758868
Clinical	365	0.125	0.15641946078057	0.629307099758868
Clinical	365	0.125	0.175971893378141	0.629307099758868
Clinical	365	0.125	0.195524325975712	0.629307099758868
Clinical	365	0.142857142857143	0.195524325975712	0.629307099758868
Clinical	365	0.142857142857143	0.215076758573283	0.629307099758868
Clinical	365	0.160714285714286	0.215076758573283	0.629307099758868
Clinical	365	0.178571428571429	0.215076758573283	0.629307099758868
Clinical	365	0.178571428571429	0.234934697930192	0.629307099758868
Clinical	365	0.178571428571429	0.254487130527763	0.629307099758868
Clinical	365	0.178571428571429	0.274039563125334	0.629307099758868
Clinical	365	0.178571428571429	0.293591995722905	0.629307099758868
Clinical	365	0.178571428571429	0.313144428320477	0.629307099758868
Clinical	365	0.178571428571429	0.332696860918048	0.629307099758868
Clinical	365	0.196428571428571	0.332696860918048	0.629307099758868
Clinical	365	0.196428571428571	0.352249293515619	0.629307099758868
Clinical	365	0.214285714285714	0.352249293515619	0.629307099758868
Clinical	365	0.214285714285714	0.37180172611319	0.629307099758868
Clinical	365	0.232142857142857	0.37180172611319	0.629307099758868
Clinical	365	0.232142857142857	0.391354158710761	0.629307099758868
Clinical	365	0.25	0.391354158710761	0.629307099758868
Clinical	365	0.267857142857143	0.391354158710761	0.629307099758868
Clinical	365	0.285714285714286	0.391354158710761	0.629307099758868
Clinical	365	0.303571428571429	0.391354158710761	0.629307099758868
Clinical	365	0.321428571428571	0.391354158710761	0.629307099758868
Clinical	365	0.339285714285714	0.391354158710761	0.629307099758868
Clinical	365	0.357142857142857	0.391354158710761	0.629307099758868
Clinical	365	0.357142857142857	0.410906591308333	0.629307099758868
Clinical	365	0.357142857142857	0.430459023905904	0.629307099758868
Clinical	365	0.375	0.430459023905904	0.629307099758868
Clinical	365	0.375	0.450011456503475	0.629307099758868
Clinical	365	0.392857142857143	0.450011456503475	0.629307099758868
Clinical	365	0.392857142857143	0.469563889101046	0.629307099758868
Clinical	365	0.392857142857143	0.489116321698618	0.629307099758868
Clinical	365	0.392857142857143	0.508668754296189	0.629307099758868
Clinical	365	0.392857142857143	0.52822118689376	0.629307099758868
Clinical	365	0.392857142857143	0.547773619491331	0.629307099758868
Clinical	365	0.392857142857143	0.567326052088903	0.629307099758868
Clinical	365	0.392857142857143	0.586878484686474	0.629307099758868
Clinical	365	0.410714285714286	0.586878484686474	0.629307099758868
Clinical	365	0.410714285714286	0.606430917284045	0.629307099758868
Clinical	365	0.410714285714286	0.625983349881616	0.629307099758868
Clinical	365	0.410714285714286	0.645535782479187	0.629307099758868
Clinical	365	0.410714285714286	0.665088215076759	0.629307099758868
Clinical	365	0.410714285714286	0.685277120089615	0.629307099758868
Clinical	365	0.410714285714286	0.704829552687187	0.629307099758868
Clinical	365	0.410714285714286	0.724381985284758	0.629307099758868
Clinical	365	0.428571428571428	0.724381985284758	0.629307099758868
Clinical	365	0.446428571428571	0.724381985284758	0.629307099758868
