LKTFeature	Gram	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species	LKT	SurvivalCohortPrevalence	SurvivalCohortMedianPPM
LKT__s__Faecalibacterium_prausnitzii	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium_prausnitzii	LKT__s__Faecalibacterium_prausnitzii	0.990909090909091	27648.5
LKT__s__Faecalibacterium_Unclassified	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium_Unclassified_OM04_11BH	LKT__s__Faecalibacterium_Unclassified	0.9636363636363636	579.0
LKT__g__Faecalibacterium	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium	s__Unclassified	LKT__g__Faecalibacterium	0.9727272727272728	481.0
