EvaluationData	CutoffSource	CutoffLog2	CutoffPPM	LowN	LowEvents	HighN	HighEvents	HazardRatioHighVsLow	CILower	CIUpper	CoxPValue	LogRankPValue
Training	Training	14.8838842416909	30209	44	30	33	12	0.37820916647875	0.192479722679263	0.7431545080045	0.00478166923926183	0.00336838050344658
Held-out test	Training	14.8838842416909	30209	13	9	20	10	0.630383181627237	0.255635170977394	1.55449249866177	0.316335007228953	0.312338763242907
Full data	Full data (leaky)	14.8838842416909	30209	57	39	53	22	0.449639035450421	0.265919150691485	0.760288462395644	0.00285759862165352	0.00219485184915053
