Step	Samples	Studies	IndependentStudySubjects	Rule
Package snapshot	22588	93	15080	curatedMetagenomicData 3.12.0 sampleMetadata
Three named studies	928	3	274	AsnicarF_2017 | HMP_2012 | ZellerG_2014
Stool profiles	319	3	261	body_site == stool
Traceable sample and subject IDs	319	3	261	non-missing NCBI_accession and subject_id
One sample per study and subject	261	3	261	maximum number_reads; lexical sample_id tie-break
