Object	Class	Features	Samples	Assay	Unit	MinimumColumnSum	MedianColumnSum	MaximumColumnSum
AsnicarF_2017 selected relative_abundance	TreeSummarizedExperiment	298	10	relative_abundance	percent	99.88968	99.995465	100.00002
HMP_2012 selected relative_abundance	TreeSummarizedExperiment	740	95	relative_abundance	percent	98.77602	99.9958	100.00008
ZellerG_2014 selected relative_abundance	TreeSummarizedExperiment	652	156	relative_abundance	percent	98.33885	99.954645	100.00006
Merged selected relative_abundance	TreeSummarizedExperiment	923	261	relative_abundance	percent	98.33885	99.98028	100.00008
