Branch	sample_with_n_markers	sample_with_n_markers_perc	marker_in_n_samples_perc	sample_with_n_markers_after_filt	sample_with_n_markers_after_filt_perc	breadth_thres	InputSamples	InputReferences	AvailableMarkers	SelectedMarkers	RetainedSamples	RetainedReferences	AlignmentSites	TreeTips
Current explicit thresholds	20	25	50	20	25	80	25	6	187	187	25	5	18027	30
Official 2022 thresholds	20	80	80	20	80	80	25	6	187	178	25	5	17638	30
