Comparison	Branch	ActualTips	BaselineTips	CommonTips	ActualSplits	BaselineSplits	RobinsonFouldsDistance	NormalizedRF	ExactTopologyMatch	BaselineTreeSHA256	ActualTreeSHA256
Current explicit thresholds vs official tutorial baseline	Current explicit thresholds	30	30	30	27	27	8	0.148148	False	3d58d9d9d52a03fd7ce744317b71409cb636bb94573c76fd2663cb4fd901487e	0c047bdf4b93f2d605deb4ee79bbc3426656d96f68219da34b59738458d2ea2f
Official 2022 thresholds rerun vs official tutorial baseline	Official 2022 thresholds	30	30	30	27	27	12	0.222222	False	3d58d9d9d52a03fd7ce744317b71409cb636bb94573c76fd2663cb4fd901487e	4b1071af06c41eb3e8b8234c1479dcb4d64d2cd186a7e547debed24a3aba7255
