Tool	Version	Role
StrainPhlAn	StrainPhlAn version 4.2.5 (13 Jul 2026)	marker filtering and strain phylogeny workflow
MetaPhlAn	MetaPhlAn version 4.2.5 (13 Jul 2026)	Jan21 marker metadata interpretation
PhyloPhlAn	PhyloPhlAn version 3.2.1 (13 February 2026)	marker alignment and phylogeny controller
RAxML	This is RAxML version 8.2.12 released by Alexandros Stamatakis on May 2018.	seeded maximum-likelihood tree inference
MAFFT	v7.526 (2024/Apr/26)	single-thread marker alignment
BLAST+	blastn: 2.17.0+	reference-marker mapping
Python	Python 3.12.13	workflow runtime
