SampleID	SubjectID	Feature	Species	Percent	Abundance	AboveCutoff	InDatabase	IncludedInModel
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	Bacteroides ovatus	0.206	0.0020599999999999998	True	True	True
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella_biformis	Holdemanella biformis	0.0015	1.5e-05	False	True	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	Faecalibacterium prausnitzii	0.7997	0.007996999999999999	True	True	True
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	Akkermansia muciniphila	0.02248	0.0002248	False	True	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_38	Eubacterium sp CAG 38	0.20061	0.0020061000000000002	True	False	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_inops	Alistipes inops	0.04195	0.0004195	False	False	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	Alistipes shahii	0.04491	0.00044909999999999997	False	True	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans	Ruthenibacterium lactatiformans	0.23707	0.0023707	True	True	True
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens	Eubacterium eligens	0.31868	0.0031868	True	False	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes	Coprococcus comes	0.04543	0.0004543	False	True	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	Bifidobacterium adolescentis	0.4591	0.0045910000000000005	True	True	True
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans	Roseburia inulinivorans	0.35997	0.0035997	True	True	True
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans	Fusicatenibacter saccharivorans	0.09111	0.0009111	False	True	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger|s__Gemmiger_formicilis	Gemmiger formicilis	0.05645	0.0005645	False	True	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena	Dorea longicatena	0.04662	0.0004662	False	True	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum	Blautia obeum	0.0657	0.0006569999999999999	False	True	False
MV_FEM1_t1Q14	MV_FEM1	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	Methanobrevibacter smithii	0.04414	0.0004414	False	True	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Intestinimonas|s__Intestinimonas_butyriciproducens	Intestinimonas butyriciproducens	0.16636	0.0016636	True	True	True
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	Bacteroides xylanisolvens	0.01064	0.0001064	False	True	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa	Butyricimonas virosa	0.03233	0.0003233	False	True	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii	Eubacterium hallii	0.00902	9.02e-05	False	False	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus	Eubacterium ramulus	0.00226	2.2599999999999997e-05	False	True	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	Collinsella aerofaciens	0.44014	0.0044014	True	True	True
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_plautii	Flavonifractor plautii	0.1214	0.001214	True	True	True
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_succinatutens	Phascolarctobacterium succinatutens	3.57963	0.035796299999999996	True	True	True
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_intestini	Acidaminococcus intestini	3.16428	0.0316428	True	True	True
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris	Bacteroides stercoris	0.78637	0.0078637	True	True	True
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis	Roseburia faecis	0.4389	0.0043890000000000005	True	True	True
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis	Barnesiella intestinihominis	0.1918	0.001918	True	True	True
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii	Bacteroides finegoldii	0.14668	0.0014668	True	True	True
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	Parabacteroides distasonis	0.14574	0.0014574000000000002	True	True	True
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila	Paraprevotella xylaniphila	0.14021	0.0014021	True	True	True
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	Bacteroides thetaiotaomicron	0.06814	0.0006814000000000001	False	True	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis	Bacteroides massiliensis	0.06138	0.0006138	False	False	False
MV_FEM1_t1Q14	MV_FEM1	k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified|f__Eukaryota_unclassified|g__Blastocystis|s__Blastocystis_sp_subtype_1	Blastocystis sp subtype 1	0.05645	0.0005645	False	False	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques	Ruminococcus torques	0.02861	0.0002861	False	False	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens	Agathobaculum butyriciproducens	0.01887	0.0001887	False	False	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_synergistica	Butyricimonas synergistica	0.01802	0.00018020000000000002	False	True	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara	Paraprevotella clara	0.01143	0.00011429999999999999	False	True	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans	Dorea formicigenerans	0.00927	9.27e-05	False	True	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_pectinoschiza	Lachnospira pectinoschiza	0.00815	8.149999999999999e-05	False	True	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_1185	Prevotella sp CAG 1185	0.00525	5.25e-05	False	False	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_CAG_144	Bacteroides sp CAG 144	0.0024	2.3999999999999997e-05	False	False	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii	Alistipes onderdonkii	0.00127	1.27e-05	False	True	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_fastidiosus	Coprobacter fastidiosus	0.00082	8.2e-06	False	True	False
MV_FEM1_t1Q14	MV_FEM1	k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae|g__Victivallis|s__Victivallis_vadensis	Victivallis vadensis	0.00059	5.9e-06	False	True	False
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	Escherichia coli	1.11421	0.011142099999999999	True	True	True
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	Bifidobacterium bifidum	0.03872	0.0003872	False	True	False
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	Bifidobacterium longum	0.49039	0.0049039	True	True	True
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula	Veillonella parvula	0.00317	3.17e-05	False	True	False
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	Streptococcus salivarius	0.01012	0.00010120000000000001	False	True	False
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	Streptococcus parasanguinis	0.00764	7.64e-05	False	True	False
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae	Haemophilus parainfluenzae	0.09142	0.0009142	False	True	False
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	Bacteroides vulgatus	10.57606	0.1057606	True	True	True
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii	Alistipes finegoldii	0.66993	0.0066993	True	True	True
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	Alistipes putredinis	5.07304	0.050730399999999995	True	True	True
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	Bacteroides uniformis	3.77403	0.037740300000000004	True	True	True
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	Bacteroides dorei	1.52364	0.0152364	True	True	True
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae	Parabacteroides merdae	1.381	0.01381	True	True	True
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius	Bacteroides plebeius	2.7858	0.027858	True	False	False
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	Bacteroides caccae	1.75434	0.0175434	True	True	True
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii	Ruminococcus bromii	2.58478	0.025847799999999997	True	True	True
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus	Odoribacter splanchnicus	1.16794	0.0116794	True	True	True
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale	Eubacterium rectale	0.92445	0.0092445	True	True	True
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis	Roseburia hominis	0.96033	0.0096033	True	True	True
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	Bacteroides ovatus	0.44411	0.0044411	True	True	True
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	Faecalibacterium prausnitzii	5.85533	0.0585533	True	True	True
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	Akkermansia muciniphila	0.03979	0.00039789999999999997	False	True	False
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_38	Eubacterium sp CAG 38	1.04387	0.0104387	True	False	False
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_inops	Alistipes inops	2.50954	0.0250954	True	False	False
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	Alistipes shahii	0.28614	0.0028614	True	True	True
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii	Bacteroides eggerthii	0.65103	0.0065103	True	True	True
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus	Coprococcus eutactus	5.02592	0.050259200000000004	True	True	True
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_57_20	Oscillibacter sp 57 20	1.49966	0.0149966	True	False	False
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_secundus	Coprobacter secundus	0.03145	0.0003145	False	False	False
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans	Ruthenibacterium lactatiformans	0.15859	0.0015859000000000001	True	True	True
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_CAG_182	Roseburia sp CAG 182	0.01116	0.0001116	False	False	False
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens	Eubacterium eligens	4.60025	0.0460025	True	False	False
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_95	Firmicutes bacterium CAG 95	0.14727	0.0014727000000000002	True	False	False
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum	Eubacterium ventriosum	0.94946	0.009494599999999999	True	True	True
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes	Coprococcus comes	0.0829	0.000829	False	True	False
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	Bifidobacterium adolescentis	0.58305	0.0058305	True	True	True
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_CAG_241	Oscillibacter sp CAG 241	0.77734	0.007773400000000001	True	False	False
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus	Alistipes indistinctus	0.1414	0.001414	True	True	True
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans	Roseburia inulinivorans	0.4253	0.004253	True	True	True
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans	Fusicatenibacter saccharivorans	0.4942	0.004941999999999999	True	True	True
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger|s__Gemmiger_formicilis	Gemmiger formicilis	0.06305	0.0006305	False	True	False
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Lawsonibacter|s__Lawsonibacter_asaccharolyticus	Lawsonibacter asaccharolyticus	0.01995	0.0001995	False	False	False
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_58	Clostridium sp CAG 58	0.02994	0.0002994	False	False	False
MV_FEM2_t1Q14	MV_FEM2	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena	Dorea longicatena	0.51604	0.005160400000000001	True	True	True
