ModelID	StandaloneStatus	StandaloneCompleteGrowth	InteractingStatus	InteractingCompleteGrowth	NoninteractingStatus	NoninteractingCompleteGrowth	StandalonePositive	InteractingPositive	NoninteractingPositive
Prevotella_copri	OPTIMAL	960.162705331428	OPTIMAL	1920.3254106628124	OPTIMAL	0.0	True	True	False
Alistipes_putredinis	OPTIMAL	377.2022040193588	OPTIMAL	2792.1515412329045	OPTIMAL	0.0	True	True	False
Phascolarctobacterium_succinatutens	OPTIMAL	41.068614566414624	OPTIMAL	1523.3327351713215	OPTIMAL	0.0	True	True	False
Acidaminococcus_intestini	OPTIMAL	124.96976321354724	OPTIMAL	2828.7902961176837	OPTIMAL	0.0	True	True	False
Bacteroides_vulgatus	OPTIMAL	1096.212967870324	OPTIMAL	2192.4259357413366	OPTIMAL	0.0	True	True	False
Eubacterium_rectale	OPTIMAL	1965.000395456282	OPTIMAL	2947.500593184454	OPTIMAL	0.0	True	True	False
