sample_id	abundance	file	found_taxa	total_taxa	found_fraction	found_abundance_fraction
MV_FEM1_t1Q14	0.0384615384615384	MV_FEM1_t1Q14.pickle	26.0	26.0	1.0	1.0
MV_FEM2_t1Q14	0.0238095238095238	MV_FEM2_t1Q14.pickle	42.0	42.0	1.0	1.0
MV_FEM3_t1Q14	0.0285714285714285	MV_FEM3_t1Q14.pickle	35.0	35.0	1.0	1.0
MV_FEM4_t1Q14	0.0434782608695652	MV_FEM4_t1Q14.pickle	23.0	23.0	1.0	0.9999999999999999
MV_FEM5_t1Q14	0.0344827586206896	MV_FEM5_t1Q14.pickle	29.0	29.0	1.0	0.9999999999999998
MV_MIM5_t3F15	0.032258064516129	MV_MIM5_t3F15.pickle	31.0	31.0	1.0	0.9999999999999998
