sample_id	file	found_taxa	total_taxa	found_fraction	found_abundance_fraction
MV_FEM1_t1Q14	MV_FEM1_t1Q14.pickle	26.0	28.0	0.9285714285714286	0.985386026093711
MV_FEM2_t1Q14	MV_FEM2_t1Q14.pickle	42.0	60.0	0.7	0.7482674265792253
MV_FEM3_t1Q14	MV_FEM3_t1Q14.pickle	35.0	43.0	0.813953488372093	0.8866736311625395
MV_FEM4_t1Q14	MV_FEM4_t1Q14.pickle	23.0	28.0	0.8214285714285714	0.9611343170147555
MV_FEM5_t1Q14	MV_FEM5_t1Q14.pickle	29.0	47.0	0.6170212765957447	0.8456956308608741
MV_MIM5_t3F15	MV_MIM5_t3F15.pickle	31.0	36.0	0.8611111111111112	0.9823311075579658
