Species	ModelID	SourceJSON	SBML	Reactions	Metabolites	Genes	Exchanges	SMETANAIDConvention	SBMLBytes	SBMLSHA256
Prevotella copri	Prevotella_copri	Prevotella_copri.json	Prevotella_copri.xml	2059	1743	1020	441	metabolite_compartment	6293861	b2830409d5b51d658e86fd9f0b7c34bb143a2eef3f37822da3234988d251713c
Alistipes putredinis	Alistipes_putredinis	Alistipes_putredinis.json	Alistipes_putredinis.xml	953	934	431	100	metabolite_compartment	3332124	c8372ff0646c1f5379370169cf67ab6c2d4a01002d6b675bb731c4c8d62c7be6
Phascolarctobacterium succinatutens	Phascolarctobacterium_succinatutens	Phascolarctobacterium_succinatutens.json	Phascolarctobacterium_succinatutens.xml	1100	1046	559	98	metabolite_compartment	3877191	0e92a1bee8f4bccab00c338309ffb48b4be31d9a791f490f01f3bc749144e6d9
Acidaminococcus intestini	Acidaminococcus_intestini	Acidaminococcus_intestini.json	Acidaminococcus_intestini.xml	1188	1107	564	133	metabolite_compartment	4027404	763f76e4cfb57338d6da8cbab320c948d89dc95e14f40bbe25b3f67111573937
Bacteroides vulgatus	Bacteroides_vulgatus	Bacteroides_vulgatus.json	Bacteroides_vulgatus.xml	1502	1326	671	170	metabolite_compartment	5061626	1b0588da3892279a65c47c09992f87de6e51624d48a048e8331636c6685a4fba
Eubacterium rectale	Eubacterium_rectale	Eubacterium_rectale.json	Eubacterium_rectale.xml	1198	1062	643	136	metabolite_compartment	4367638	e8442ba754a428475f0ec9af6b00df78cfa07a2bb00f81140046eafb491e376d
