Asset	LocalFile	ObservedBytes	ObservedMD5	ObservedSHA256
AGORA201RefSeq216Species	agora201_refseq216_species_1.qza	264422408	6a13da2a3fd9b1bc059987d6344f32b6	8fb2ade5b970aadefd7e3c381b2fca3854e32082361507cf0e6f8dc32a3394dc
AGORA2RefSeqSpeciesManifest	agora2_refseq_species.tsv	4775059	4bd03f0a4eda3f556074efcbee52af9b	fe1c7fd3ede1c2f96097c311294ecc674d7ca9320c0f806b619a4b83337905c3
WesternDietGutAGORA	western_diet_gut_agora.qza	9047	a970c0cd814e7e59b655f2fdf087f39e	a53d83b9c892e6c11dbb6ec22ab46fda136bebe7d0ecd14d4c5b716e1c5574fe
Article22:human-sample-metadata.tsv	/workspace/wechat/Metagenome/data/small/22-diversity-inputs/human-sample-metadata.tsv	2052	24674a99a5b19b084a5ab7906d130716	2bac387f2e9dbd6786a79de98e2f2c032b4d249360daacb7b65f2ff53ef32f2a
Article22:species-relative-abundance.tsv.gz	/workspace/wechat/Metagenome/data/small/22-diversity-inputs/species-relative-abundance.tsv.gz	10856	d896e58ceb8c3f97fcd548a76a33b5ec	312e55c506279ef5e5caa0e20f9bb5f14be06bf5b22feabf682e9314f29951dc
