Tool	Version	Executable
FastQC	0.12.1	${READ_QC_ENV_PREFIX}/bin/fastqc
fastp	1.3.6	${READ_QC_ENV_PREFIX}/bin/fastp
MultiQC	1.35	${READ_QC_ENV_PREFIX}/bin/multiqc
Python	3.14.6	${READ_QC_ENV_PREFIX}/bin/python
