Modality	Stage	Features
Microbiome	Source features	11720
Microbiome	PRISM prevalence ≥20%	4341
Microbiome	Mean abundance ≥0.05%	166
Metabolome	Source peaks	8848
Metabolome	Named compounds	466
Metabolome	High-confidence HMDB	153
