Source	Resource	Identifier	Release	Rows	Samples	SHA256	Use
Article 19 frozen HUMAnN output	Gene families	genefamilies-rpk.tsv	HUMAnN 3.9 / UniRef90 v201901b / MetaCyc	24812	1	8d68a179989b309bd71eddbbfba15ed2368b322c570e729a5da9626867779ae5	Normalization denominator and contribution audit
Article 19 frozen HUMAnN output	Regrouped reactions	reactions-rpk.tsv	HUMAnN 3.9 / UniRef90 v201901b / MetaCyc	5508	1	20e70558774eb5158f682e7f4f7273c5fc7c48abc4cfab7fcc9e05d6297299b7	Normalization denominator and contribution audit
Article 19 frozen HUMAnN output	Pathway abundance	pathabundance-rpk.tsv	HUMAnN 3.9 / UniRef90 v201901b / MetaCyc	261	1	259f24f507c111717d278e2e329f3341b9ca93cef3b3eb27072dfb6b3a4dbe5b	Normalization denominator and contribution audit
curatedMetagenomicData	pathway_abundance	EH7089	2021-10-14 / package 3.12.0	11173	24	ead7c78c075fec92a7d641b731594e068b2ba2a47479151d081c338f615af121	Prevalence and zero-value method audit
curatedMetagenomicData	pathway_coverage	EH7090	2021-10-14 / package 3.12.0	11173	24	73a1b77b70f88e9028e8707ba3e99b93f0ff99cd91401a3966c4f7a31dbfc3a1	Prevalence and zero-value method audit
