FeatureSpace	NativeUnit	Rows	CommunityRows	StratifiedRows	OrdinaryCommunityFeatures	SpecialCommunityRows	CommunityTotalWithSpecial	CommunityTotalWithoutSpecial	StrataTotalWithSpecial	CanAddStrataToCommunity
Gene families	RPK	24812	11777	13035	11776	1	263560.9363648028	130579.9363648028	130579.9363647995	Yes
Regrouped reactions	RPK	5508	1404	4104	1402	2	279239.7374264394	32446.098814215402	146258.7374264345	Yes
Pathway abundance	RPK-derived pathway abundance	261	149	112	147	2	102782.3506251704	3568.0477971183	21568.0594885128	No
