Configuration	Rank	ReadLengthBp	ThresholdFragments	Taxa	KrakenAssignedFragments	AddedFragments	EstimatedFragments	FractionSum	TotalVariationFromPrimary
species-r150-t10	Species	150	10	65	59991	24156	84147	0.9997	0.0
species-r150-t0	Species	150	0	214	60266	26016	86282	0.99897	0.06630499999999999
species-r100-t10	Species	100	10	65	59991	24154	84145	0.99968	0.0013400000000000035
genus-r150-t10	Genus	150	10	54	83642	788	84430	0.99974	NA
