BroadRegion	TemperatureRegime	Springs
ALK	Below 30	0
ALV	Below 30	1
BLR	Below 30	1
GBD	Below 30	1
SIE	Below 30	0
YEL	Below 30	0
ALK	30–<50	0
ALV	30–<50	3
BLR	30–<50	3
GBD	30–<50	5
SIE	30–<50	4
YEL	30–<50	1
ALK	50–<70	0
ALV	50–<70	7
BLR	50–<70	1
GBD	50–<70	13
SIE	50–<70	0
YEL	50–<70	9
ALK	70–<80	0
ALV	70–<80	3
BLR	70–<80	1
GBD	70–<80	0
SIE	70–<80	0
YEL	70–<80	0
ALK	80–100	2
ALV	80–100	0
BLR	80–100	0
GBD	80–100	0
SIE	80–100	0
YEL	80–100	1
