Stage	Source	Samples	InferenceUnits	Features	Denominator	InferentialRole
Publisher sample table	Figshare 30284068 v2 file 61153444	500		780	Recovered 780-MAG catalog closure	Source
Frozen sample table	Article 22 checksum-locked MAG profile	500		780	Recovered 780-MAG catalog closure	Source
Primary inference table	Equal-sample spring aggregation		56	780	Recovered 780-MAG catalog closure	Primary
Sensitivity inference table	Estimated catalog-read-weighted spring aggregation		56	780	Recovered 780-MAG catalog closure	Sensitivity only
