Variant	Distance	Features	Units	Formula	PermutationScheme	Permutations	Df	SumOfSquares	R2Total	R2Partial	PseudoF	PValue	DistanceSpearmanRho	PrimaryInference	Interpretation
Primary	Bray-Curtis	780	56	BroadRegion + scale(MedianPH) + TemperatureRegime	Within BroadRegion	9999	4	2.20252655477825	0.143375569877342	0.211395468344516	3.01570549421439	1e-04	1	TRUE	Primary marginal location test
Binary membership	Binary Jaccard	780	56	BroadRegion + scale(MedianPH) + TemperatureRegime	Within BroadRegion	9999	4	2.07542755315515	0.159710673964511	0.230206606933863	3.36431093243152	1e-04	0.913101346074623	FALSE	Presence/absence geometry; sensitivity only
MAG prevalence >=10%	Bray-Curtis	751	56	BroadRegion + scale(MedianPH) + TemperatureRegime	Within BroadRegion	9999	4	2.29825190446267	0.150767238709124	0.219379547337581	3.16161317466157	1e-04	0.998463955955673	FALSE	Feature-universe sensitivity
Catalog-read-weighted aggregation	Bray-Curtis	780	56	BroadRegion + scale(MedianPH) + TemperatureRegime	Within BroadRegion	9999	4	2.28088170778703	0.141898764731205	0.203197130258879	2.86892505313779	1e-04	0.94837909212034	FALSE	Sampling-weight sensitivity; not the primary unit weighting
Remove pH covariate	Bray-Curtis	780	56	BroadRegion + TemperatureRegime	Within BroadRegion	9999	4	2.67662746089255	0.17423762120927	0.232103680706748	3.475980104429	1e-04	1	FALSE	Covariate sensitivity
Unrestricted permutations	Bray-Curtis	780	56	BroadRegion + scale(MedianPH) + TemperatureRegime	Unrestricted (diagnostic only)	9999	4	2.20252655477825	0.143375569877342	0.211395468344516	3.01570549421439	1e-04	1	FALSE	Invalid as primary because geography is ignored
Add conductivity (complete cases)	Bray-Curtis	780	54	BroadRegion + scale(MedianPH) + scale(MedianConductivity) + TemperatureRegime	Within BroadRegion	9999	4	2.26458775800461	0.151995530081051	0.232793558583072	3.18601647896477	1e-04	1	FALSE	54-spring complete-case covariate sensitivity
Sequential registered order	Bray-Curtis	780	56	BroadRegion -> scale(MedianPH) -> TemperatureRegime	Within BroadRegion	9999	4	2.20252655477826	0.143375569877342	0.211395468344517	3.0157054942144	1e-04	1	FALSE	Sequential sums of squares diagnostic; not primary inference
Sequential swapped order	Bray-Curtis	780	56	BroadRegion -> TemperatureRegime -> scale(MedianPH)	Within BroadRegion	9999	4	2.67662746089256	0.17423762120927	0.245717979970342	3.66484577553321	1e-04	1	FALSE	Sequential sums of squares diagnostic; not primary inference
