RowType	TemperatureRegime	N	MeanDistance	MedianDistance	Df	SumOfSquares	PseudoF	PValue	Permutations	MinimumP
Global test	All groups	56	0.482347232288699	0.462654656922389	4	0.218639773469204	4.29632990542587	0.0043	9999	1e-04
Group summary	Below 30	3	0.648018698062141	0.636837057615325						
Group summary	30–<50	16	0.490552900085861	0.476083737938368						
Group summary	50–<70	30	0.474767903000262	0.451977565426165						
Group summary	70–<80	4	0.316246514119747	0.310011406515333						
Group summary	80–100	3	0.570173122040032	0.356830269857494						
