SourceID	Type	Identity	Version	SHA256	License	PublicReference
mock1-clean-r1	public-fastq-derived-clean-read	PRJEB52977/SAMEA14435832/ERR9765746 first 100000 pairs after Article 13 fastp	Article13-2026-07-20	ce438de2814a6e605cc24b00e53b697d018f325bc2a9694cece5be158ff32101	ENA source terms; derived FASTQ excluded from Git	https://www.ebi.ac.uk/ena/browser/view/ERR9765746
mock1-clean-r2	public-fastq-derived-clean-read	PRJEB52977/SAMEA14435832/ERR9765746 first 100000 pairs after Article 13 fastp	Article13-2026-07-20	207d080cd5dc98bd10fd4af8c492fb3f2000f73e1458a9d1d77e57347f4fe459	ENA source terms; derived FASTQ excluded from Git	https://www.ebi.ac.uk/ena/browser/view/ERR9765746
microbecensus-source	official-software-source	dfc42d356bfd7943633cde6c0fbfc0b116f29ae2	v1.1.1	a6c3243dea06180f71efd1401efad3f62e3908830b6ddb58cbab260bfadff9ec	GPL-3.0	https://github.com/snayfach/MicrobeCensus/tree/v1.1.1
