Component	Version
MicrobeCensus source tag	v1.1.1
MicrobeCensus source commit	dfc42d356bfd7943633cde6c0fbfc0b116f29ae2
MicrobeCensus internal version	1.1.0
RAPsearch2	2.15
Python	3.12.13
Biopython	1.87
NumPy	2.5.1
Compatibility shim	RAPsearch2 preflight bytes-to-text only
