Branch	ReadLengthBp	UserSeconds	SystemSeconds	Elapsed	MaximumRSSKiB	ExitStatus
Primary	150	143.73	1.33	0:49.73	639912	0
Sensitivity	100	101.58	0.83	0:37.67	596508	0
