Metric	Value	Unit
source_reads	199982	reads
source_pairs	99991	paired_fragments
reads_sampled_for_ags	180995	reads
read_length	150	bp
average_genome_size	2576205.2553182994	bp_per_genome
total_bases	29809773	bp
genome_equivalents	11.571194856644642	genome_coverage
