File	Rows	DataColumns	MetagenomeSamples	ReferenceGenomes
primary-matrix.tsv	11069	37	22	15
primary-index.tsv	11069	22	22	0
coverage-matrix.tsv	10703	25	25	0
sensitive-matrix.tsv	11069	40	25	15
sensitive-index.tsv	11069	25	25	0
