Branch	InputSamples	RetainedSamples	ReferenceGenomes	PangenomeGeneFamilies	MedianGeneFamiliesPerSample	MinimumGeneFamiliesPerSample	MaximumGeneFamiliesPerSample	StrictCore100Pct	OperationalCore95Pct	Accessory5To95Pct	RareBelow5Pct	Undetected
Primary	25	22	15	11069	3191.0	2713	3648	1429	1591	4542	1613	3323
Sensitivity	25	25	15	11069	3203.0	2713	3947	1400	1571	4914	1720	2864
Reference genomes	15	15	15	11069	3042.0	2637	3630	1335	1335	9734	0	0
