Software	Version
PanPhlAn profiling source	3.1
Python	3.12.13
NumPy	2.3.5
Pandas	3.0.5
Bowtie2	${HOME}/miniconda3/envs/metagenome-panphlan-2026.07/bin/bowtie2-align-s version 2.5.5 | 64-bit | Built on runnervmn36qa
SAMtools	samtools 1.23.1 | Using htslib 1.23.1 | Copyright (C) 2025 Genome Research Ltd.
