Asset	URL	Bytes	MD5	SHA256
Eubacterium rectale pangenome archive	https://www.dropbox.com/s/oz6uu7tjxuhfkei/Eubacterium_rectale.tar.bz2?dl=1	83327158	87b111ad1612930d34ab17f9e0f09e34	411d8736790ef591e8131d58e096d68a15c477bc21eb39b41c337af950d4dfc6
25 official tutorial mapping profiles	https://www.dropbox.com/s/z81e87dvtzp6pu3/panphlan_tutorial_map_results.tar.bz2?dl=1	3714090	ab39c9982abf29cf6dd297fa4d96b203	5f9bfecbe3e5459e06f48677076b49a4a37263935ac8cff8422cf1ef6bc9bc50
