Artifact	PrimarySHA256	ReplaySHA256	ByteIdentical	Seed	RandomCoveragePlotRequested
presence-absence	9ff98f2dbc0fedaec413115d208eb6ca39ec345768d9a796a615cd529b65ff2a	9ff98f2dbc0fedaec413115d208eb6ca39ec345768d9a796a615cd529b65ff2a	True	20260752	False
plateau-index	512b919536bf8ded52f0dfe20db21efb17832a1efb61cd8134047a707fb54ea3	512b919536bf8ded52f0dfe20db21efb17832a1efb61cd8134047a707fb54ea3	True	20260752	False
coverage-matrix	db1b5fa51418614977b14266eb96df5e386841b77d0f30799b2474e9e7694711	db1b5fa51418614977b14266eb96df5e386841b77d0f30799b2474e9e7694711	True	20260752	False
