Role	Path	Bytes	SHA256	Status
Article30-coassembly-ge1000	data/small/30-short-read-assembly-frozen/contigs/megahit-coassembly.ge1000.fna.gz	25559722	904f92521ff0ce9f12bd52d153bb249ec816fc900051e06b4b12bc5da74a270a	PASS
Article41-JGI-depth	data/small/41-read-mapping-depth-frozen/raw/jgi-depth.tsv	1026839	b95010d4f8ec6d066cdf426902f4b10c9127ddb448bfd06741a9c72a53920b53	PASS
Article42-common-coordinate-fasta	${ARTICLE42_WORK_DIR}/inputs/megahit-coassembly.ge1500.fna	75995087	7b25b3f03f3267d80679caa3381ebcb43d300ecf2daebab6028d41708a22c496	PASS
