Branch	Bins	BinnedContigs	BinnedBp	BinnedAssemblyPct	HQTruthProxyBins	MQTruthProxyBins	BelowMQTruthProxyBins	DistinctDominantTruthGenomes	CheckM2GUNCQCPassBins
MetaBAT2-MOCK1-only	33	8144	69322891	92.51324174005774	12	11	10	31	22
MetaBAT2-multisample	34	8360	69772750	93.11359053993598	15	9	10	31	22
SemiBin2-self-supervised	43	9304	72361333	96.56812339897678	15	10	18	35	24
VAMB-taxonomy-free	26	5115	62642877	83.5985853964703	9	8	9	24	15
TaxVAMB-Kraken2	35	6608	65912695	87.96224448102856	9	10	16	29	18
